;Sample;Material;Li;Be;S;Sc;V;Cr;Co;Ni;Cu;Zn;Ga;As;Rb;Sr;Y;Zr;Nb;Mo;Sn;Sb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;W;Th;U;Ce*;Eu*
40;MA-201426;Iron-SI-P;13.531;4.449;1230.474;7.013;44.894;36.684;92.155;113.782;11.287;4.310;10.455;5.157;31.035;97.067;43.049;121.255;4.796;0.688;0.669;0.054;1.949;528.898;26.066;56.330;5.454;23.171;5.080;1.157;5.768;0.889;5.748;1.200;3.409;0.425;3.058;0.439;3.191;0.353;3.191;3.449;1.095;1.078;0.992
41;MA-201427;Iron-SI-P;19.561;4.820;1470.899;10.525;138.908;166.063;8.070;17.869;7.362;19.599;16.500;2.859;27.690;83.583;32.800;174.541;7.411;1.884;0.470;0.392;1.133;330.523;21.909;43.609;5.561;22.861;5.245;1.164;5.618;0.846;5.217;0.969;2.886;0.390;2.777;0.407;4.598;0.477;4.598;5.429;5.773;0.902;1.011
42;MA-201429;Ore;2.640;380.000;2330.000;28.900;86.000;12.600;65.000;80.000;273.000;350.000;5.500;310.000;27.700;88.000;196.000;16.300;2.560;4.400;1.530;26.600;7.200;770.000;26.900;24.200;10.170;51.000;20.400;3.100;23.100;4.500;26.500;5.500;16.000;2.330;15.400;2.330;0.390;0.090;30.000;3.800;69.000;0.325;0.664
43;MA-201430;Ore;30.000;11.300;2650.000;8.000;61.000;38.000;22.000;44.000;26.000;116.000;8.900;45.000;104.000;84.000;18.700;37.000;4.100;1.980;1.900;3.800;12.500;1100.000;14.000;27.800;4.260;15.500;4.000;1.070;3.700;0.690;3.800;0.770;1.950;0.280;1.690;0.240;1.060;0.340;1.000;4.100;4.100;0.814;1.306
44;MA-201431;Ore;9.600;11.200;2320.000;3.200;32.000;18.300;32.000;56.000;21.500;107.000;3.400;6.900;38.000;36.000;13.300;17.900;1.460;0.640;1.440;1.340;4.900;430.000;6.100;13.400;2.040;8.200;2.550;0.610;2.430;0.420;2.740;0.490;1.360;0.190;1.250;0.180;0.420;0.160;0.510;1.510;2.560;0.853;1.149
45;MA-201432;Ore;19.000;10.800;2260.000;6.300;50.000;29.500;13.900;32.000;15.200;79.000;5.600;12.800;58.000;34.000;12.900;86.000;2.700;0.930;1.380;1.700;5.600;360.000;7.900;27.600;2.340;9.200;2.740;0.650;2.350;0.450;2.680;0.480;1.400;0.190;1.320;0.200;2.840;0.210;0.820;3.200;1.820;1.455;1.204
46;MA-201433;Ore;5.000;7.200;3700.000;7.600;152.000;74.000;17.200;110.000;16.400;63.000;2.400;128.000;15.500;0.010;29.100;19.800;2.530;16.000;0.780;3.800;1.780;2200.000;7.900;49.000;2.320;8.700;2.540;0.680;3.200;0.670;3.800;0.860;2.480;0.380;2.150;0.370;0.460;0.220;0.740;2.670;2.990;2.595;1.099
47;MA-201434;Ore;28.000;14.100;3400.000;7.800;56.000;34.000;34.000;151.000;161.000;117.000;7.300;11.600;84.000;145.000;36.000;37.000;3.800;2.320;1.700;1.470;7.100;2250.000;25.800;51.000;7.700;31.000;7.700;1.940;8.300;1.270;7.000;1.340;3.600;0.480;2.920;0.440;1.010;0.300;0.970;5.400;2.760;0.820;1.132
48;MA-201535;Ore;18.340;10.810;3213.520;6.070;128.500;23.530;20.020;46.040;21.880;138.090;5.590;46.300;54.650;179.570;36.240;16.940;2.340;20.200;1.300;1.870;5.160;1787.170;21.660;21.270;6.370;24.860;6.500;1.540;6.350;1.000;5.650;1.110;2.990;0.390;2.480;0.390;0.460;0.180;0.460;2.060;3.950;0.411;1.123
49;MA-201912;Ore;6.630;14.870;3605.120;6.530;85.890;99.350;8.570;55.290;53.200;79.200;4.450;2245.390;34.880;20.700;10.760;37.610;3.510;8.900;1.310;5.840;2.860;171.840;7.780;11.060;2.630;10.190;2.730;0.690;2.300;0.440;2.500;0.480;1.430;0.190;1.560;0.240;1.630;0.320;1.630;4.080;4.440;0.549;1.294
50;MA-201914;Ore;25.020;30.130;3869.760;10.030;63.100;47.940;45.890;83.820;51.330;56.760;8.200;9.170;84.050;34.480;13.940;61.610;5.690;0.750;6.690;7.270;11.180;1111.080;5.070;20.590;2.200;9.170;3.830;1.200;4.790;0.730;3.630;0.620;1.530;0.220;1.300;0.210;1.990;0.460;1.990;2.640;2.040;1.344;1.292
