;Material;type;Li;Be;S;Sc;V;Cr;Co;Ni;Cu;Zn;Ga;As;Rb;Sr;Y;Zr;Nb;Mo;Sn;Sb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;W;Th;U;Ce*;Eu*
19;Ore;std;10.051;111.024;1226.596;6.830;35.977;25.426;17.529;37.184;80.736;80.988;2.378;663.315;30.062;74.874;53.196;21.590;1.210;11.061;1.609;7.292;3.514;723.457;9.447;13.423;3.290;16.692;5.670;0.908;6.406;1.192;6.984;1.454;4.242;0.618;4.089;0.618;0.780;0.106;8.752;1.218;19.968;0.648;0.182
20;Oven Slag;mean;23.710;4.688;274.384;8.820;38.790;29.776;33.578;59.912;157.244;29.770;8.008;33.842;78.798;140.600;24.208;179.598;5.748;1.908;1.666;1.368;7.462;688.326;19.464;33.494;4.422;19.568;4.538;0.900;4.416;0.666;4.054;0.818;2.340;0.334;2.250;0.330;5.140;0.496;1.398;6.880;4.282;0.815;0.956
21;Oven Slag;min;9.690;0.960;176.170;5.100;12.890;16.490;1.580;2.450;12.130;12.870;3.960;0.700;19.430;48.530;14.930;64.000;2.730;0.500;0.970;0.200;1.630;187.930;11.160;16.470;2.210;9.700;2.270;0.510;2.340;0.350;2.280;0.470;1.380;0.210;1.370;0.190;1.900;0.230;0.790;3.020;1.040;0.753;0.842
22;Oven Slag;max;33.880;10.450;376.970;11.940;60.780;39.620;127.130;247.920;369.670;54.880;12.750;111.890;108.860;253.400;27.750;264.240;7.600;5.300;2.740;3.960;10.720;1050.000;26.020;45.300;5.940;27.050;6.100;1.140;5.930;0.860;4.930;0.980;2.840;0.420;2.790;0.430;7.850;0.660;2.880;10.050;8.600;0.849;1.040
23;Oven Slag;std;9.398;3.529;85.066;2.600;17.363;8.769;53.844;105.626;183.428;15.366;3.579;48.692;36.836;74.034;5.298;81.293;1.882;2.033;0.862;1.694;3.741;321.419;5.424;10.730;1.373;6.383;1.465;0.247;1.310;0.190;1.036;0.205;0.578;0.078;0.573;0.089;2.356;0.167;0.888;2.516;2.726;0.038;0.091
24;Plate Slag;mean;28.166;7.905;496.294;9.768;31.070;27.397;7.269;11.691;31.306;64.762;6.637;2.681;75.164;178.721;39.326;177.613;5.996;0.847;1.834;0.190;6.886;478.472;24.065;40.701;5.463;23.126;5.472;1.149;5.871;0.913;5.570;1.185;3.373;0.467;3.063;0.440;4.954;0.520;0.934;7.186;6.588;0.806;0.951
25;Plate Slag;min;5.880;0.390;162.570;2.650;3.290;5.410;3.580;2.720;7.140;4.970;2.910;0.910;9.170;22.260;6.700;47.940;1.060;0.230;0.850;0.090;0.750;63.440;5.260;7.860;1.080;4.580;0.970;0.200;1.010;0.160;0.960;0.200;0.570;0.080;0.540;0.080;1.380;0.100;0.450;1.520;0.420;0.744;0.883
26;Plate Slag;max;49.670;13.020;2510.000;13.750;49.090;39.010;14.790;62.420;78.000;281.000;9.760;5.520;110.110;370.000;72.520;324.420;8.510;1.310;5.810;0.320;11.720;941.290;39.290;57.620;7.880;35.220;8.310;1.930;9.850;1.480;9.010;1.930;5.380;0.750;4.750;0.680;9.140;0.740;1.300;11.670;14.800;0.853;1.086
27;Plate Slag;std;12.975;4.242;710.996;3.461;14.683;11.453;3.794;18.064;25.971;79.163;2.316;1.371;35.169;114.894;20.768;89.460;2.420;0.395;1.439;0.080;3.354;238.251;10.329;16.947;2.296;9.741;2.399;0.531;2.832;0.431;2.693;0.591;1.637;0.229;1.437;0.202;2.566;0.208;0.264;2.994;4.160;0.036;0.061
28;Smithing Slag;mean;10.273;3.240;1369.767;4.857;20.785;19.615;33.635;342.933;51.432;15.580;3.758;21.800;38.888;80.758;11.607;63.032;3.042;4.485;1.415;1.325;3.188;434.650;10.238;18.570;2.585;9.585;2.248;0.453;2.110;0.333;1.985;0.398;1.157;0.158;1.035;0.158;1.788;0.247;1.048;3.505;1.145;0.817;0.989
29;Smithing Slag;min;5.880;0.430;251.320;2.050;11.440;11.140;0.010;10.580;30.630;10.420;2.460;2.570;11.250;55.770;3.040;18.370;1.010;1.430;1.130;0.750;0.760;246.850;3.160;6.320;0.900;2.970;0.660;0.150;0.580;0.090;0.530;0.110;0.320;0.040;0.300;0.050;0.580;0.090;0.580;0.990;0.400;0.756;0.898
30;Smithing Slag;max;18.700;9.630;3164.080;7.690;34.560;36.380;71.920;934.440;66.260;22.200;5.500;53.760;74.410;113.090;24.560;88.780;5.200;8.000;1.660;2.190;6.210;988.410;21.010;39.990;5.630;19.780;4.680;0.980;4.430;0.740;4.210;0.840;2.330;0.300;1.940;0.290;2.370;0.450;2.370;6.530;2.260;0.851;1.139
31;Smithing Slag;std;5.915;4.324;1381.917;2.341;9.904;11.362;36.991;436.248;15.773;5.337;1.275;24.066;30.296;28.699;9.266;30.799;1.712;2.696;0.219;0.697;2.840;369.182;7.717;15.039;2.120;7.301;1.759;0.369;1.664;0.285;1.594;0.316;0.862;0.111;0.704;0.101;0.820;0.152;0.882;2.409;0.857;0.042;0.112
