"Material","Key","Mesurment","Sample","Li","Be","Na2O","MgO","Al2O3","SiO2","P2O5","S","K2O","CaO","Sc","TiO","V","Cr","MnO","Fe2O3","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","K2O (%)","CaO (%)","TiO2 (%)","MnO (%)","Fe2O3 (%)"
"Iron-SI-P",50,"Unique","MA-201426",15.81,4.66,1059.79,3219.17,28848.91,284685.09,27244.54,1514.55,12533.81,46976.43,7.44,1504.27,20.56,19.33,9275.75,581942.82,28.04,13.39,1.78,0.48,8.44,3.16,34.97,109.13,45.51,113.88,4.87,0.41,0.55,0.07,2.46,542.25,26.88,58.3,5.28,22.12,5.49,1.22,5.64,1.03,5.82,1.26,3.66,0.41,3.41,0.47,3.48,0.32,3.48,3.56,1.1,0.105979,0.321917,2.884891,28.468509,2.724454,1.253381,4.697643,0.150427,0.927575,58.194282
"Iron-SI-P",51,"Unique","MA-201426",13.21,5.62,1424.99,2596.22,30872.11,241273.69,35830.4,1320.75,12888.58,34774.73,6.34,1845.48,43.26,33.82,8292.72,627193.75,147.07,249.88,29.51,1.92,14.18,1.01,33.73,90.54,50.42,137.04,5.65,2.06,0.59,0.07,2.17,582.49,29.52,63.92,6.21,27.61,6.7,1.21,6.86,1,7.2,1.43,3.42,0.41,4.05,0.49,3.07,0.43,3.07,3.62,1.17,0.142499,0.259622,3.087211,24.127369,3.58304,1.288858,3.477473,0.184548,0.829272,62.719375
"Iron-SI-P",52,"Unique","MA-201426",12.4,3.75,1273.23,2901.57,27268.6,232632.17,31708.7,1264.6,10972.25,30323.94,6.67,1914.62,45.64,30.05,8349.01,649786.34,165.82,323.93,19.88,1.39,10.88,2.41,30.06,79.44,40.77,113.1,4.4,0.89,0.82,0.08,1.9,499.48,24.77,52.19,4.81,20.48,4.37,1.16,5.35,0.84,5.19,1.17,3.19,0.39,2.93,0.4,3,0.34,3,3.29,1.22,0.127323,0.290157,2.72686,23.263217,3.17087,1.097225,3.032394,0.191462,0.834901,64.978634
"Iron-SI-P",53,"Mean","MA-201426",13.96,4.7,1240.67,2963.2,30233.95,250305.55,35663.95,1218.08,12889,40949.28,7.36,1884.75,39.43,30.84,8731.26,612430.28,79.82,98.26,10.52,14.62,10.73,6.19,33.44,105.7,45.35,126.64,4.99,0.57,0.75,0.09,2.04,583.69,27.36,59.29,5.72,24.23,5.19,1.19,6.1,0.92,5.85,1.23,3.66,0.47,3.29,0.49,3.35,0.38,3.35,3.57,1.13,0.124067,0.29632,3.023395,25.030555,3.566395,1.2889,4.094928,0.188475,0.873126,61.243028
"Iron-SI-P",54,"Unique","MA-201427",18.03,5.42,3279.77,4989.3,49928.64,310087.76,19610.81,1538.76,14030.17,18604.98,14.98,3951.05,122.89,134.61,3193.23,569474.85,8.89,20.71,5.91,16.4,11.76,0.55,37.18,91.78,28.4,225.87,9.63,1,0.85,0.47,1.82,361.01,22.69,41.7,5.13,21.29,5.74,0.88,5.38,0.61,5.86,0.99,2.62,0.48,3.02,0.45,5.41,0.59,5.41,5.19,4.4,0.327977,0.49893,4.992864,31.008776,1.961081,1.403017,1.860498,0.395105,0.319323,56.947485
"Iron-SI-P",55,"Unique","MA-201427",30.09,12.09,3171.31,6234.62,74375.26,383620.73,19562.21,826.11,19896.1,27152.09,14.79,5014.38,289.49,310.1,4363.38,453575.06,9.33,69.61,9.34,5.22,11.8,6.45,49.67,129.3,57.6,277.37,12.28,0.73,0.88,0.5,2.26,637.11,34.69,72.41,8.83,37.06,8,1.94,8.47,1.33,7.94,1.51,4.38,0.57,4.75,0.7,8.3,0.88,8.3,7.15,13.07,0.317131,0.623462,7.437526,38.362073,1.956221,1.98961,2.715209,0.501438,0.436338,45.357506
"Iron-SI-P",56,"Unique","MA-201427",14.32,4.78,3021.04,3068.18,35592.46,306283.69,33463.14,940.07,15506.13,19333.97,7.52,2164.86,43.34,45.38,4782.8,574696.25,4.39,1.03,1.23,8.24,8.67,0.01,39.23,85.38,35.71,215.54,8.17,0.71,0.39,0.08,1.74,410.57,23.62,45.44,6.24,26.15,6.24,1.1,5.25,1.03,5.97,1.08,3.33,0.45,2.79,0.44,4.99,0.44,4.99,5.22,4.87,0.302104,0.306818,3.559246,30.628369,3.346314,1.550613,1.933397,0.216486,0.47828,57.469625
"Iron-SI-P",57,"Unique","MA-201427",15.96,4.3,1968.8,3702.41,33846.86,252992.93,25257.91,2788.96,11632.39,15149.96,12.04,2329.53,177.09,215.91,4188.33,644889.72,4.5,5.72,6.13,14.03,20.18,1.05,24.75,65.73,28.7,151.46,6.99,2.57,0.87,0.34,0.86,293.76,18.07,38.27,4.56,18.91,4.87,0.95,5.73,0.85,4.5,0.85,2.6,0.34,2.43,0.38,4.28,0.4,4.28,5.2,5.63,0.19688,0.370241,3.384686,25.299293,2.525791,1.163239,1.514996,0.232953,0.418833,64.488972
"Iron-SI-P",58,"Unique","MA-201427",20.19,0.69,5425.16,9589.2,46706.57,282595.61,33123.46,1096.16,8611.12,60592.3,7.4,3086.39,122.49,176.48,1452.13,546494.55,1.98,10.44,4.85,24.94,29.57,2.9,18.33,146.88,19.49,172.9,7.97,1.85,0.25,0.08,0.61,264.83,20.8,41.97,5.07,15.85,2.63,1.02,3.31,0.6,3.59,0.64,1.78,0.26,1.64,0.18,3.92,0.51,3.92,6.23,3.19,0.542516,0.95892,4.670657,28.259561,3.312346,0.861112,6.05923,0.308639,0.145213,54.649455
"Iron-SI-P",59,"Unique","MA-201427",16.32,6.08,2593.08,3993.34,42071.77,247226.88,36951.49,1091.46,14924.54,23975.08,8.87,1961.09,99.9,134.55,3454.94,620425.99,6.55,13.93,7.94,17.31,22.04,3.42,33.49,108.21,34,146.22,6.93,2.05,0.45,0.18,1.04,420.33,27.81,54.61,6.56,28.23,6.53,1.6,5.75,1.05,5.73,0.88,3.49,0.41,2.63,0.39,3.6,0.53,3.6,6.86,6.86,0.259308,0.399334,4.207177,24.722688,3.695149,1.492454,2.397508,0.196109,0.345494,62.042599
"Iron-SI-P",60,"Unique","MA-201427",19.35,2.09,982.61,4940.01,20886.8,305480.01,30119.42,1509.24,5566.96,11344.46,11.23,1793.88,141,163.88,4620.64,611757.31,3.41,6.61,10.42,42.64,12.86,4.01,13.92,46.63,19.65,95.51,4.14,2.18,0.18,0.21,0.53,171.31,11.84,24.37,2.77,11.02,2.62,0.49,3.63,0.39,2.12,0.63,2,0.39,2.08,0.35,3.13,0.27,3.13,3.27,3.7,0.098261,0.494001,2.08868,30.548001,3.011942,0.556696,1.134446,0.179388,0.462064,61.175731
"Iron-SI-P",61,"Unique","MA-201427",22.09,1.75,714.09,5657.23,21139.27,267010.73,33045.86,1350.02,2995.56,6475.54,10.47,2031.73,165.37,189.56,4527.19,654198.12,8.25,25.08,8.12,31.5,14.78,5.7,9.78,21.89,13.34,91.85,3.51,2.52,0.1,0.99,0.13,97.15,6.77,11.11,1.6,7.95,1.16,0.32,1.45,0.43,2.82,0.45,1.63,0.13,1.79,0.26,2.33,0.2,2.33,2.44,2.8,0.071409,0.565723,2.113927,26.701073,3.304586,0.299556,0.647554,0.203173,0.452719,65.419812
"Iron-SI-P",62,"Unique","MA-201427",23.28,4.46,1383.81,4897.45,29968.98,329208.93,35870.52,2430.28,690.33,11606.35,11.31,1744.52,104.49,109.82,4384.27,576834.82,18.08,45.85,15.26,27.27,20.24,9.23,0.42,60.14,27.36,100.76,3.59,4.53,0.19,0.18,0.29,167.87,17.79,41.55,4.85,20.7,4.39,1.13,6.14,0.47,4.43,0.4,2.11,0.2,1.9,0.42,3.18,0.4,3.18,4.93,5.8,0.138381,0.489745,2.996898,32.920893,3.587052,0.069033,1.160635,0.174452,0.438427,57.683482
"Iron-SI-P",63,"Unique","MA-201427",23.68,0.01,1109.11,4504.89,20900.13,327797.83,26503.06,2511.6,6024.25,10366.7,7.42,1369.8,131.45,153.74,4461.63,593416.85,16.32,14.37,14.47,68.67,20.22,6.91,14.98,73.88,26.7,115.5,3.98,3.25,0.11,2.63,0.18,145.62,12.39,27.8,4.08,14.93,4.25,0.83,5.74,0.88,5.32,0.89,1.6,0.19,3.07,0.2,2.95,0.35,2.95,4.33,3.68,0.110911,0.450489,2.090013,32.779783,2.650306,0.602425,1.03667,0.13698,0.446163,59.341685
"Iron-SI-P",64,"Unique","MA-201427",17.75,7.79,2650.55,3442.38,43589.14,301892.37,28184.35,1022.16,14138.47,18111.55,9.61,2727.42,160.96,228.62,8074.58,574596.16,4.38,0.51,5.77,6.09,6.19,0.44,36.93,80,50.86,207.53,7.88,0.33,0.34,0.01,1.95,485.99,32.07,58.41,8.23,34.32,8.33,1.61,7.8,1.21,6.89,1.46,4.43,0.56,3.68,0.52,5.5,0.59,5.5,5.7,6.87,0.265055,0.344238,4.358914,30.189237,2.818435,1.413847,1.811155,0.272742,0.807458,57.459616
"Iron-SI-P",65,"Unique","MA-201427",15.05,5.61,2182.83,4472.85,40827.97,226825.97,34540.39,1379.26,13113.37,19046.33,11.37,2537.86,168.05,214.48,3987.42,649748.96,1.23,1.78,5.54,7.91,24.32,0.16,30.43,78.68,29.98,171.64,8.5,2.51,0.75,0.01,1.05,343.52,20.96,43.75,5.49,22.04,5.59,1.1,6.04,0.73,4.9,1.03,3.04,0.37,2.3,0.36,4.09,0.43,4.09,6.1,6.48,0.218283,0.447285,4.082797,22.682597,3.454039,1.311337,1.904633,0.253786,0.398742,64.974896
"Iron-SI-P",66,"Unique","MA-201427",20.38,4.71,2715.78,4283.16,53327.78,280388.06,44270.57,1083.88,15560.35,22600.74,10.33,2329.64,71.84,60.47,4430.17,567773.53,1.61,3.19,5.05,5.85,25.63,1.01,33.94,93.44,38.13,211.94,10.02,2.48,0.43,0.15,1.3,400,25.21,53.29,6.49,28.34,5.93,1.6,6.09,1.15,6.18,1.28,3.51,0.56,3.4,0.51,5.36,0.56,5.36,7.39,7.9,0.271578,0.428316,5.332778,28.038806,4.427057,1.556035,2.260074,0.232964,0.443017,56.777353
"Iron-SI-P",67,"Unique","MA-201427",18.68,8.01,2611.53,3221.64,44261.83,297018,28439.81,1407.02,13562.89,18199.85,9.57,2827.08,170.07,240.14,7631.95,579219.49,14.89,21.05,5.71,11.47,6.22,0.91,35.43,82.5,52.13,210.18,8.76,0.27,0.42,0.01,1.71,451.18,31.88,57.92,8.4,34.39,7.76,1.83,8.53,1.22,7.64,1.45,3.92,0.56,3.66,0.57,5.66,0.53,5.66,5.56,6.48,0.261153,0.322164,4.426183,29.7018,2.843981,1.356289,1.819985,0.282708,0.763195,57.921949
"Iron-SI-P",68,"Unique","MA-201427",18.53,5.11,2933.89,4272.38,51162.28,322245.28,16614.29,1003.29,15348.97,16593.59,11.4,3849.84,118.19,112.58,3160.13,561524.34,17.12,31.05,4.27,4.22,11.69,0.01,40.18,93.59,31.74,238.85,9.41,1.03,0.89,0.03,1.71,339.68,23.22,43.75,5.38,22.95,4.96,1.1,5.14,0.78,4.68,1.04,2.97,0.4,2.69,0.41,6.64,0.51,6.64,5.96,5.25,0.293389,0.427238,5.116228,32.224528,1.661429,1.534897,1.659359,0.384984,0.316013,56.152434
"Iron-SI-P",69,"Mean","MA-201427",19.27,4.22,2272.6,4748.08,37390.78,286723.55,31076.76,1556.11,10180.77,19505.2,10.09,2382.4,135.91,166.69,4531.11,598406.65,8.19,14.97,7.79,21.83,17.83,2.98,24.38,79.3,31.01,159.53,6.81,2.13,0.42,0.4,0.95,298.44,20.73,41.4,5.29,21.64,4.92,1.13,5.44,0.81,4.9,0.92,2.76,0.37,2.61,0.38,4.22,0.44,4.22,5.33,5.39,0.22726,0.474808,3.739078,28.672355,3.107676,1.018077,1.95052,0.23824,0.453111,59.840665
