"Material","Key","Mesurment","Sample","Li","Be","Na2O","MgO","Al2O3","SiO2","P2O5","S","K2O","CaO","Sc","TiO","V","Cr","MnO","Fe2O3","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","K2O (%)","CaO (%)","TiO2 (%)","MnO (%)","Fe2O3 (%)"
"Iron-SI",11,"Unique","MA-201419",33.71,5.74,1696.51,21053.66,98157.58,666776.68,363.54,1424.96,30555.81,95608.39,19.16,4330.96,42.64,38.81,52877.76,23742.63,0.56,6.92,0.6,1.14,1.53,0.58,73.9,749.44,90.12,153.59,10.5,0.46,0.01,0.01,3.88,1887.66,53.4,94.77,11.87,47.54,10.3,2.56,12,1.88,11.27,2.47,7.08,0.89,7.24,0.98,4.35,0.76,4.35,8.51,8.14,0.169651,2.105366,9.815758,66.677668,0.036354,3.055581,9.560839,0.433096,5.287776,2.374263
"Iron-SI",12,"Mean","MA-201419",34.97,5.87,1662.42,20545.23,112900.31,687380.2,97.59,1723.64,34853.69,87101.75,21.72,5183.89,7.92,8.27,33078.99,12012.81,1.26,10.99,5.25,14.73,1.07,1.29,110.87,694.19,103.45,170.78,4.66,0.32,0.11,0.06,7.59,1888.54,60.48,105.44,13.25,53.56,11.62,3.07,14.46,2.07,12.95,2.75,8.04,1.16,7.31,1.18,4.61,0.81,4.61,9.36,9.36,0.166242,2.054523,11.290031,68.73802,0.009759,3.485369,8.710175,0.518389,3.307899,1.201281
"Iron-SI-P",13,"Unique","MA-201421",19.78,1.39,2039.13,7436.23,39335.75,450481.4,5349.05,831.32,15856.93,33410.99,9.56,2148.73,20.34,22.66,2525.8,439747.03,5.03,4.33,3.72,1.3,5.62,0.56,48.16,125.52,10.37,128.45,5.01,0.44,1.9,0.01,2.26,302.91,12.37,24.42,2.73,11.54,2.41,0.44,2.24,0.3,1.85,0.34,1.13,0.11,1.14,0.18,3.75,0.34,3.75,3.6,1.13,0.203913,0.743623,3.933575,45.04814,0.534905,1.585693,3.341099,0.214873,0.25258,43.974703
"Iron-SI-P",14,"Unique","MA-201421",17.82,0.85,1957.33,7608.81,39387.39,444711.5,5114.02,1526.51,14981.74,33311.17,8.26,2241.83,21.43,24.61,2422.78,445890.48,12.7,17.05,7.84,5.94,5.56,4.71,43.09,126.61,9.91,120.49,4.91,0.22,1.95,0.04,2.04,293.11,12.58,24.95,2.99,9.44,2.41,0.57,2.02,0.33,1.36,0.36,0.81,0.12,1.03,0.17,3.55,0.26,3.55,3.36,1.25,0.195733,0.760881,3.938739,44.47115,0.511402,1.498174,3.331117,0.224183,0.242278,44.589048
"Iron-SI-P",15,"Unique","MA-201421",27.35,1.28,3517.02,10163.98,59118.64,652928,3662.16,1130.44,32780.59,46555.25,12.47,3011.91,26.09,25.68,4743.89,181234.66,2.52,3.47,3.41,3.12,4.9,6.28,93.98,176.44,14.13,176.63,6.78,0.03,4.01,0.19,4.62,442.39,17.19,35.49,4.29,14.29,3.06,0.58,3.09,0.45,2.63,0.46,1.59,0.3,1.23,0.19,4.74,0.5,4.74,5.27,2.01,0.351702,1.016398,5.911864,65.2928,0.366216,3.278059,4.655525,0.301191,0.474389,18.123466
"Iron-SI-P",16,"Unique","MA-201421",37.12,0.94,8113.85,13891.69,66285.65,677174.42,1181.52,2430.69,34306.36,56839.07,15.15,3380.75,32.67,32.85,5824.83,129218.32,22.89,40.68,15.58,3.35,2.09,35.27,82.78,222.25,13.74,169.06,6.63,0.09,3.41,0.79,4.09,481.95,19.01,37.82,4.73,16.15,3.25,0.58,2.84,0.47,2.42,0.52,2.29,0.18,1.81,0.3,4.1,0.54,4.1,6.1,2.08,0.811385,1.389169,6.628565,67.717442,0.118152,3.430636,5.683907,0.338075,0.582483,12.921832
"Iron-SI-P",17,"Unique","MA-201421",41.07,1.03,9130.62,14922,70484.78,735233.39,1459.01,2217.36,38284.37,62169.9,15.59,3951.63,35.25,29.57,6137.58,54657.46,1.26,0.8,1.28,1.39,1.34,1.68,90.32,227.98,17.23,212.54,8.64,0.05,1.15,0.01,4.03,529.3,22.27,45.56,5.07,19.03,3.97,0.92,3.73,0.49,3.16,0.62,1.93,0.31,1.82,0.27,5.12,0.59,5.12,6.29,2.62,0.913062,1.4922,7.048478,73.523339,0.145901,3.828437,6.21699,0.395163,0.613758,5.465746
"Iron-SI-P",18,"Unique","MA-201421",23.48,1.15,2688.31,9034.11,43351.81,472171.52,2893.89,1078.84,22707.05,37604.32,10.45,2207.96,22.61,25.27,4981,400115.86,68.4,122.02,44.97,6.89,5.67,59.79,59.18,138.87,8.23,105.26,5.34,0.21,5.03,3.44,2.65,330.2,11.9,26.12,2.28,10.19,2.19,0.41,3.16,0.14,1.29,0.29,1.12,0.2,0.85,0.18,2.87,0.28,2.87,3.36,1.8,0.268831,0.903411,4.335181,47.217152,0.289389,2.270705,3.760432,0.220796,0.4981,40.011586
"Iron-SI-P",19,"Unique","MA-201421",29.52,1.29,3362.13,12651.32,57809.62,578809.82,2823.55,1399.81,26811.35,58001.09,12.37,3139.02,30.12,31.34,6841.49,247057.4,19.05,32.4,18.27,4.81,4.75,37.59,69.65,204.47,15.11,173.99,7.46,0.1,4.09,1.16,3.24,459.33,17.94,37.11,4.18,16.99,3.35,0.64,2.75,0.51,2.57,0.47,1.27,0.26,1.38,0.21,4.68,0.43,4.68,5.59,2.28,0.336213,1.265132,5.780962,57.880982,0.282355,2.681135,5.800109,0.313902,0.684149,24.70574
"Iron-SI-P",20,"Unique","MA-201421",34.78,3.39,7616.05,12848.17,54236.73,401576.71,1294.05,0.01,40650.6,62046.67,20.39,2979.45,9.52,16.74,4217.8,410907.24,138.59,189.79,43.02,27.73,3.74,93.62,82.73,136.37,14.95,230.69,7.93,4.21,1.36,2.32,4.92,411.79,17.58,31.31,4.11,23.1,4.41,1.2,1.29,0.38,2.45,0.75,1.83,0.42,2.6,0.25,4.3,0.58,4.3,6.61,2.1,0.761605,1.284817,5.423673,40.157671,0.129405,4.06506,6.204667,0.297945,0.42178,41.090724
"Iron-SI-P",21,"Unique","MA-201421",38.26,1.41,8452.25,15007.37,77284.38,744827.66,899.52,1950.48,43583.99,71107.55,16.32,3760.12,13.08,5.05,5293.22,26410.61,2.9,6.04,1.28,0.98,0.39,0.58,103.11,226.45,19.65,256.51,8.93,0.04,0.21,0.1,5.15,578.49,24.25,46.82,5.31,22.38,5.19,1,2.83,0.53,2.86,0.72,2.03,0.3,2.58,0.28,6.92,0.75,6.92,6.89,2.7,0.845225,1.500737,7.728438,74.482766,0.089952,4.358399,7.110755,0.376012,0.529322,2.641061
"Iron-SI-P",22,"Unique","MA-201421",45.61,0.61,12584.84,32947.83,73780.18,507271.19,374.67,154.69,58146.94,146526.85,21.71,4436.33,18.09,13.99,10253.51,151789.04,39.54,58.07,16.52,7.72,1.94,18.73,74.88,207.4,17.55,228.12,14.39,0.93,1.48,0.17,5.65,773.16,29.66,38.23,5.49,35.27,9.71,1.07,3.57,0.59,4.35,0.75,5.22,0.52,4.68,0.36,4.38,1.02,4.38,5.83,2.37,1.258484,3.294783,7.378018,50.727119,0.037467,5.814694,14.652685,0.443633,1.025351,15.178904
"Iron-SI-P",23,"Unique","MA-201421",26.44,1.7,4768.39,11597.9,54253.6,626992.07,636.56,117.29,29394.65,48697.75,12.4,3170.04,12.48,2.8,4178.4,214766.98,92.05,144.92,35.8,0.5,2.01,51.14,69.59,185.36,16.06,204.19,8.93,1.48,1.32,1.46,3.26,418.16,18.61,38.74,4.67,19.61,4.17,0.53,3.05,0.44,3.02,0.65,1.98,0.14,1.68,0.25,5.01,0.64,5.01,6.26,2.25,0.476839,1.15979,5.42536,62.699207,0.063656,2.939465,4.869775,0.317004,0.41784,21.476698
"Iron-SI-P",24,"Mean","MA-201421",31.02,1.37,5839.08,13464.49,57757.14,572016.15,2335.27,1167.04,32500.41,59660.96,14.06,3129.8,21.97,20.96,5220.03,245617.73,36.81,56.32,17.43,5.79,3.46,28.18,74.32,179.79,14.27,182.36,7.72,0.71,2.36,0.88,3.81,456.44,18.49,35.14,4.17,18,4.01,0.72,2.78,0.42,2.54,0.54,1.93,0.26,1.89,0.24,4.49,0.54,4.49,5.38,2.05,0.583908,1.346449,5.775714,57.201615,0.233527,3.250041,5.966096,0.31298,0.522003,24.561773
"Iron-SI",25,"Unique","MA-201422",41.47,5.23,2190.1,2689.82,89554.53,358675.68,10239.16,766.83,37311.78,44523.44,7.15,4163.16,63.77,48.8,8749.71,439527.41,4.83,10.64,20.41,3.7,21.11,1.38,170.19,172.83,29.36,172.59,14.8,0.01,1.81,0.18,15.34,555.69,30.48,72.6,8.52,37.57,9.42,0.87,6.12,0.92,4.93,0.79,3.1,0.37,1.99,0.24,4.69,0.83,4.69,9.35,5.2,0.21901,0.268982,8.955453,35.867568,1.023916,3.731178,4.452344,0.416316,0.874971,43.952741
"Iron-SI",26,"Unique","MA-201422",25.59,7.64,2903.46,6632.92,53634.85,319332.03,17414.43,723.42,18549.09,28283.84,11.85,3480.88,209.65,207.48,3473.23,543946.07,1.42,1.54,3.4,3.9,10.56,0.19,43.29,103.3,42.32,225.95,10.43,1.1,1.33,0.06,2.54,479.18,26.67,51.78,6.58,27.69,6.58,1.43,5.91,0.81,5.82,1.17,4.05,0.47,3.31,0.52,5.32,0.66,5.32,6.11,9.83,0.290346,0.663292,5.363485,31.933203,1.741443,1.854909,2.828384,0.348088,0.347323,54.394607
"Iron-SI",27,"Unique","MA-201422",24.99,6.87,2078.19,5579.83,39569.69,275832.22,26302.95,1449.61,14208.8,15870.53,9.95,2667.52,229.29,231.2,3543.05,611413.85,8.13,39.89,6.08,8.44,14,2.38,31.81,72.89,34.08,163.91,7.77,2.18,0.5,0.23,1.66,390.55,19.83,40.69,4.97,22.35,4.72,1.13,5.08,0.77,5.65,0.92,3.39,0.41,2.89,0.31,3.77,0.4,3.77,4.16,8.04,0.207819,0.557983,3.956969,27.583222,2.630295,1.42088,1.587053,0.266752,0.354305,61.141385
"Iron-SI",28,"Unique","MA-201422",23.46,9.35,3396.47,4698.41,53391.93,290815.66,52217.88,593.3,20168.12,22488.14,11.45,3293.88,190.33,206.18,3113.6,543975.61,7.75,59.38,8.71,7.52,16.05,9.97,44.12,110.98,48.82,268.67,11.89,1.71,1.73,1.06,1.92,550.71,30.71,58.79,7.59,32.14,7.44,1.62,6.73,1.04,7.63,1.57,4.09,0.54,3.58,0.49,6.74,0.72,6.74,6.91,12.07,0.339647,0.469841,5.339193,29.081566,5.221788,2.016812,2.248814,0.329388,0.31136,54.397561
"Iron-SI",29,"Unique","MA-201422",23.27,5.67,1767.28,6757.63,41727.17,310922.13,28642.27,1424.2,10322.97,16195.65,9.64,2784.01,217.84,275.42,3809.41,573998.05,17.06,132.01,14.61,5.47,11.16,19.45,26.66,75.74,33.16,177.57,7.53,0.61,1.41,1.94,1.42,393.71,20.1,40.32,5.68,24.72,4.65,1.05,4.43,0.84,5.11,1.05,2.61,0.28,2.69,0.3,4.57,0.47,4.57,4.25,8.38,0.176728,0.675763,4.172717,31.092213,2.864227,1.032297,1.619565,0.278401,0.380941,57.399805
"Iron-SI",30,"Mean","MA-201422",27.76,6.95,2467.1,5271.72,55575.64,311115.54,26963.34,991.47,20112.15,25472.32,10.01,3277.89,182.18,193.82,4537.8,542572.2,7.84,48.69,10.64,5.8,14.58,6.67,63.21,107.15,37.55,201.74,10.49,1.12,1.36,0.7,4.58,473.97,25.56,52.84,6.67,28.9,6.56,1.22,5.65,0.88,5.83,1.1,3.45,0.41,2.89,0.37,5.02,0.62,5.02,6.16,8.7,0.24671,0.527172,5.557564,31.111554,2.696334,2.011215,2.547232,0.327789,0.45378,54.25722
"Iron-SI",31,"Unique","MA-201423",20.78,3.42,918.19,2387.22,41583.83,269608.12,20237.41,680.29,8687.22,22739.68,8.55,2149.28,61.27,42.23,3566.23,626485.93,5.02,1.33,4.08,3.11,10.88,0.29,26.93,49.49,62.77,130.17,5.74,0.76,3.14,0.03,3.29,232.9,35.68,77.77,8.07,35.37,7.84,1.57,9.2,1.27,8.72,1.74,5.03,0.67,4.21,0.66,3.44,0.53,3.44,4.82,1.18,0.091819,0.238722,4.158383,26.960812,2.023741,0.868722,2.273968,0.214928,0.356623,62.648593
"Iron-SI",32,"Unique","MA-201423",20.32,5.22,880.7,2324.69,41067.85,266678.87,20051.07,2973.77,8766.51,22737.39,8.66,2142.88,66.17,46.06,3549.47,627860.67,5.35,0.01,5.24,1.65,10.53,0.07,27.37,51.94,61.15,130.13,6.13,0.98,2.35,0.06,3.31,234.18,35.1,76.61,7.88,31.87,8,1.38,9.36,1.36,8.88,1.65,5.21,0.76,3.75,0.69,3.15,0.5,3.15,4.53,1.23,0.08807,0.232469,4.106785,26.667887,2.005107,0.876651,2.273739,0.214288,0.354947,62.786067
"Iron-SI",33,"Unique","MA-201423",21.68,3.46,895.09,2863.26,40034.3,288265.23,22900.66,2404.04,8901.37,24254.48,10.28,2356,81.44,59.98,4102.81,602021.84,6.48,2.06,6.05,1.67,8.85,5.67,27.77,50.48,65.28,133.13,5.92,0.75,3.36,0.2,3.56,227.23,34.56,77.21,8.12,34.39,7.3,1.39,8.17,1.34,8.86,1.82,5.55,0.69,4.32,0.63,3.07,0.39,3.07,4.39,1.2,0.089509,0.286326,4.00343,28.826523,2.290066,0.890137,2.425448,0.2356,0.410281,60.202184
"Iron-SI",34,"Unique","MA-201423",21.7,4.2,1097.5,2340.35,48952.76,265727.1,23356.79,1158.74,10743.87,28589.58,8.19,2421.73,67.24,43.88,3396.89,611074.21,3.83,1.06,4.07,4.01,11.67,1.28,32.44,68.1,71.37,156.05,7.19,0.81,3.21,0.01,3.87,305.5,42.86,94.18,10.07,40.71,8.72,1.78,10.15,1.58,9.96,1.99,5.6,0.79,5.02,0.63,3.65,0.53,3.65,5.7,1.56,0.10975,0.234035,4.895276,26.57271,2.335679,1.074387,2.858958,0.242173,0.339689,61.107421
"Iron-SI",35,"Unique","MA-201423",23.7,3.65,1035.61,2528.74,46324.75,297646.5,24320.94,934.29,9771.52,26613.03,9.29,2223.23,47.02,28.09,3756,583815.24,3.72,0.01,4.13,2.47,9.62,0.24,30.2,59.12,71.83,146.01,7.04,0.22,3.36,0.02,3.82,270.52,41.51,90.21,9.48,38.58,9.34,1.79,9.53,1.61,9.38,2.05,5.55,0.72,4.53,0.73,3.74,0.53,3.74,5.83,1.52,0.103561,0.252874,4.632475,29.76465,2.432094,0.977152,2.661303,0.222323,0.3756,58.381524
"Iron-SI",36,"Unique","MA-201423",21.56,4.69,1165.07,2060.34,48104.04,270782.12,41636.26,1162.41,11733.05,28554.98,7.1,2234.05,45.84,28.43,3371.53,588114.02,4.12,0.01,5.13,5.29,10.28,2.2,35.24,66.55,70.96,149.19,7.11,0.58,3.6,0.14,4.7,290.79,44.53,95.81,10.28,40.45,9.75,1.91,10.27,1.57,9.18,2.04,5.95,0.72,4.04,0.65,3.87,0.5,3.87,6,1.39,0.116507,0.206034,4.810404,27.078212,4.163626,1.173305,2.855498,0.223405,0.337153,58.811402
"Iron-SI",37,"Unique","MA-201423",21.54,4.22,883.32,1788.67,40459.11,221323.66,34636.65,1028.1,8947.21,25125.62,5.82,1435.56,26.13,21.29,2669.03,660749.33,6.55,0.35,3.61,4.16,12.62,0.33,27.7,59.65,61.35,117.5,5.95,1.37,2.89,0.01,3.67,266.78,39.25,84.05,8.4,36.56,8.64,1.55,9.64,1.29,7.57,1.63,4.76,0.53,3.9,0.45,3.36,0.47,3.36,5.25,1.35,0.088332,0.178867,4.045911,22.132366,3.463665,0.894721,2.512562,0.143556,0.266903,66.074933
"Iron-SI",38,"Unique","MA-201423",22.02,4.1,932.36,2924.53,51832.4,310902.85,17303.18,811.91,8504.78,28432.38,10.13,2651.75,48.75,25.29,3827.26,570788.38,3.71,0.61,3.44,8.89,9.93,3.58,28.07,64.73,73.7,152.53,6.9,0.58,2.73,0.01,3.4,292.76,44.25,94.17,9.86,36.54,7.88,1.83,9.43,1.35,9.2,2,5.47,0.8,5.18,0.72,4.1,0.48,4.1,5.69,1.43,0.093236,0.292453,5.18324,31.090285,1.730318,0.850478,2.843238,0.265175,0.382726,57.078838
"Iron-SI",39,"Unique","MA-201423",20.28,3.4,1471.5,2614.25,38031.94,230395.74,35056.13,323.35,11243.17,26664.22,7.4,1816.09,45.02,26.65,3015.54,648437.9,5.92,1.18,3.38,2.32,10.38,4.1,33.17,60.53,54.9,112.56,5.39,1.13,4.61,0.17,3.65,256.7,33.34,74.13,7.66,29.6,6.84,1.57,8.4,1.11,7.01,1.42,4.5,0.68,3.63,0.5,3.05,0.44,3.05,4.34,1.03,0.14715,0.261425,3.803194,23.039574,3.505613,1.124317,2.666422,0.181609,0.301554,64.84379
