"Material","Sample","Site","Li","Be","S","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Plate Slag","MA-200990","Eisenberg","11.48","1.64","167.61","4.6","11.88","10.34","3.58","3.46","9.45","4.97","3.88","1.49","30.72","51.4","10.32","94.61","2.2","0.33","0.98","0.32","2.71","240.97","7.66","12.47","1.66","7.13","1.72","0.36","1.63","0.26","1.56","0.32","0.94","0.13","0.93","0.14","2.73","0.19","0.45","2.66","0.84"
"Plate Slag","MA-200991","Eisenberg","5.88","0.39","162.57","2.65","3.29","5.41","14.79","62.42","11.9","5.44","2.91","2.85","9.17","22.26","6.7","47.94","1.06","0.23","0.85","0.2","0.75","63.44","5.26","7.86","1.08","4.58","0.97","0.2","1.01","0.16","0.96","0.2","0.57","0.08","0.54","0.08","1.38","0.1","0.72","1.52","0.42"
"Plate Slag","MA-200992","Eisenberg","34.16","10.13","290.89","12.13","44.44","36.77","3.8","2.72","18.64","49.16","9.76","1.45","110.11","310.93","33.22","324.42","8.51","1.12","1.54","0.13","11.72","941.29","29.21","51.53","6.83","28.25","6.31","1.17","6.12","0.93","5.6","1.13","3.32","0.46","3.19","0.47","9.14","0.74","1.3","11.67","6.78"
"Plate Slag","MA-200994","Eisenberg","49.67","8.43","320.49","11.72","34.57","30.84","3.96","4.5","7.14","32.91","6.79","2.67","98.42","103.77","48.98","248.05","7.03","0.63","1.26","0.19","8.8","473.55","25.49","46.34","6.02","26.3","6.71","1.36","7.03","1.14","7.1","1.53","4.48","0.65","4.26","0.63","6.78","0.62","1.0","8.96","6.01"
"Plate Slag","MA-200995","Eisenberg","37.95","13.02","271.91","13.75","49.09","39.01","11.83","12.36","10.68","72.63","9.0","5.52","102.89","290.39","40.09","133.75","7.49","1.28","1.32","0.14","9.12","555.06","28.83","45.35","5.82","25.38","5.55","1.11","6.03","0.92","5.59","1.2","3.56","0.48","3.25","0.46","4.0","0.66","0.77","7.84","14.8"
"Plate Slag","MA-200996","Eisenberg","33.37","8.51","391.43","11.33","33.87","31.7","9.14","6.66","26.44","45.94","8.31","3.57","81.13","161.41","55.3","215.0","7.16","0.72","1.63","0.27","7.85","584.64","26.08","46.24","6.15","26.11","6.45","1.37","7.5","1.14","7.23","1.57","4.44","0.59","3.73","0.57","6.18","0.65","1.09","9.06","8.35"
"Plate Slag","MA-200997","Eisenberg","34.0","12.9","2510.0","11.3","45.0","36.0","7.8","9.4","78.0","281.0","7.3","1.7","104.0","370.0","38.0","122.0","7.6","1.31","2.1","0.1","8.1","350.0","31.0","55.0","7.5","24.6","5.5","1.25","5.3","0.91","5.1","1.07","3.0","0.41","2.74","0.37","2.89","0.59","1.24","7.3","9.8"
"Plate Slag","MA-200998","Eisenberg","28.62","5.56","288.52","9.94","32.63","21.82","7.9","6.39","53.24","54.53","7.87","3.02","101.93","213.45","29.21","171.01","6.11","1.01","1.51","0.17","9.37","646.97","22.87","39.84","5.25","23.12","5.25","1.05","5.22","0.79","4.79","0.98","2.81","0.39","2.58","0.39","4.34","0.54","1.13","7.94","7.35"
"Plate Slag","MA-200999","Eisenberg","18.98","8.75","323.53","9.88","22.44","34.31","4.39","5.19","68.15","37.04","4.06","3.63","56.31","126.68","72.52","128.14","6.58","1.22","5.81","0.29","5.1","411.69","39.29","57.62","7.88","35.22","8.31","1.93","9.85","1.48","9.01","1.92","5.23","0.73","4.75","0.61","3.68","0.55","0.83","7.18","4.9"
"Flow Slag","MA-201000","Eisenberg","21.89","3.0","276.09","10.08","31.23","46.6","2.79","13.18","7.81","36.82","5.74","1.59","58.2","94.35","47.65","219.84","5.79","0.68","0.76","0.06","4.21","382.52","25.91","38.87","5.28","22.69","5.19","1.15","5.78","0.94","5.87","1.26","3.69","0.51","3.28","0.48","6.05","0.5","0.71","5.51","4.38"
"Flow Slag","MA-201001","Eisenberg","24.21","6.62","302.09","10.54","31.33","29.71","7.27","2.53","11.33","12.13","5.62","2.23","80.61","232.64","28.03","242.84","6.82","1.48","1.22","0.1","7.4","461.32","25.89","44.81","6.08","25.42","5.91","1.08","5.37","0.83","4.98","0.99","2.85","0.41","2.78","0.4","6.49","0.6","1.05","9.64","4.54"
"Flow Slag","MA-201002","Eisenberg","26.15","3.8","390.9","12.58","44.38","59.63","2.5","15.02","11.39","42.27","6.55","1.29","69.08","120.8","57.65","218.84","7.05","0.72","0.9","0.07","4.98","462.95","30.81","45.47","6.07","26.95","6.15","1.33","6.97","1.1","7.06","1.5","4.35","0.61","3.96","0.57","6.07","0.62","0.7","6.69","4.95"
"Flow Slag","MA-201003","Eisenberg","27.23","7.02","275.11","8.18","20.41","14.45","6.65","4.91","15.43","41.91","5.81","2.41","71.7","71.24","42.42","127.48","4.13","0.62","1.16","0.21","6.12","363.16","17.95","32.5","4.31","19.05","5.0","1.07","5.69","0.89","5.68","1.19","3.57","0.52","3.39","0.52","3.69","0.38","0.81","6.0","4.96"
"Flow Slag","MA-201004","Eisenberg","15.95","2.14","367.15","6.74","45.74","19.85","10.75","17.61","18.38","36.31","6.51","30.86","48.72","113.01","13.63","113.55","4.52","2.37","1.76","0.46","3.44","762.3","15.06","25.35","3.35","14.75","3.4","0.68","2.96","0.42","2.47","0.48","1.37","0.2","1.35","0.19","3.62","0.36","1.02","4.68","1.32"
"Flow Slag","MA-201005","Eisenberg","26.74","8.48","293.67","12.49","46.13","40.67","4.43","4.46","9.05","25.97","6.61","1.03","139.98","163.49","67.0","322.62","6.75","0.64","0.97","0.05","18.05","825.78","29.66","61.8","7.99","38.82","10.44","2.16","11.69","1.73","10.1","2.07","5.8","0.79","4.97","0.71","9.36","0.63","0.79","9.53","3.39"
"Flow Slag","MA-201006","Eisenberg","12.58","1.71","233.8","6.2","17.97","15.7","19.15","11.64","18.78","21.76","6.54","9.67","30.01","122.58","18.28","253.17","4.24","0.36","1.2","0.31","1.95","410.48","13.65","22.92","3.02","12.83","3.28","0.55","2.79","0.42","2.59","0.54","1.49","0.23","1.61","0.22","6.71","0.37","0.91","4.79","1.21"
