"Material","Sample","Site","Li","Be","S","Sc","V","Cr","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Sb","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Iron-SI","MA-201422","Eisenberg","23.46","9.35","593.3","11.45","190.33","206.18","7.75","59.38","8.71","7.52","16.05","9.97","44.12","110.98","48.82","268.67","11.89","1.71","1.73","1.06","1.92","550.71","30.71","58.79","7.59","32.14","7.44","1.62","6.73","1.04","7.63","1.57","4.09","0.54","3.58","0.49","6.74","0.72","6.74","6.91","12.07"
"Iron-SI","MA-201422","Eisenberg","23.27","5.67","1424.2","9.64","217.84","275.42","17.06","132.01","14.61","5.47","11.16","19.45","26.66","75.74","33.16","177.57","7.53","0.61","1.41","1.94","1.42","393.71","20.1","40.32","5.68","24.72","4.65","1.05","4.43","0.84","5.11","1.05","2.61","0.28","2.69","0.3","4.57","0.47","4.57","4.25","8.38"
"Iron-SI","MA-201422","Eisenberg","27.76","6.95","991.47","10.01","182.18","193.82","7.84","48.69","10.64","5.8","14.58","6.67","63.21","107.15","37.55","201.74","10.49","1.12","1.36","0.7","4.58","473.97","25.56","52.84","6.67","28.9","6.56","1.22","5.65","0.88","5.83","1.1","3.45","0.41","2.89","0.37","5.02","0.62","5.02","6.16","8.7"
"Iron-SI","MA-201423","Eisenberg","20.78","3.42","680.29","8.55","61.27","42.23","5.02","1.33","4.08","3.11","10.88","0.29","26.93","49.49","62.77","130.17","5.74","0.76","3.14","0.03","3.29","232.9","35.68","77.77","8.07","35.37","7.84","1.57","9.2","1.27","8.72","1.74","5.03","0.67","4.21","0.66","3.44","0.53","3.44","4.82","1.18"
"Iron-SI","MA-201423","Eisenberg","20.32","5.22","2973.77","8.66","66.17","46.06","5.35","0.01","5.24","1.65","10.53","0.07","27.37","51.94","61.15","130.13","6.13","0.98","2.35","0.06","3.31","234.18","35.1","76.61","7.88","31.87","8.0","1.38","9.36","1.36","8.88","1.65","5.21","0.76","3.75","0.69","3.15","0.5","3.15","4.53","1.23"
"Iron-SI","MA-201423","Eisenberg","21.68","3.46","2404.04","10.28","81.44","59.98","6.48","2.06","6.05","1.67","8.85","5.67","27.77","50.48","65.28","133.13","5.92","0.75","3.36","0.2","3.56","227.23","34.56","77.21","8.12","34.39","7.3","1.39","8.17","1.34","8.86","1.82","5.55","0.69","4.32","0.63","3.07","0.39","3.07","4.39","1.2"
"Iron-SI","MA-201423","Eisenberg","21.7","4.2","1158.74","8.19","67.24","43.88","3.83","1.06","4.07","4.01","11.67","1.28","32.44","68.1","71.37","156.05","7.19","0.81","3.21","0.01","3.87","305.5","42.86","94.18","10.07","40.71","8.72","1.78","10.15","1.58","9.96","1.99","5.6","0.79","5.02","0.63","3.65","0.53","3.65","5.7","1.56"
"Iron-SI","MA-201423","Eisenberg","23.7","3.65","934.29","9.29","47.02","28.09","3.72","0.01","4.13","2.47","9.62","0.24","30.2","59.12","71.83","146.01","7.04","0.22","3.36","0.02","3.82","270.52","41.51","90.21","9.48","38.58","9.34","1.79","9.53","1.61","9.38","2.05","5.55","0.72","4.53","0.73","3.74","0.53","3.74","5.83","1.52"
"Iron-SI","MA-201423","Eisenberg","21.56","4.69","1162.41","7.1","45.84","28.43","4.12","0.01","5.13","5.29","10.28","2.2","35.24","66.55","70.96","149.19","7.11","0.58","3.6","0.14","4.7","290.79","44.53","95.81","10.28","40.45","9.75","1.91","10.27","1.57","9.18","2.04","5.95","0.72","4.04","0.65","3.87","0.5","3.87","6.0","1.39"
"Iron-SI","MA-201423","Eisenberg","21.54","4.22","1028.1","5.82","26.13","21.29","6.55","0.35","3.61","4.16","12.62","0.33","27.7","59.65","61.35","117.5","5.95","1.37","2.89","0.01","3.67","266.78","39.25","84.05","8.4","36.56","8.64","1.55","9.64","1.29","7.57","1.63","4.76","0.53","3.9","0.45","3.36","0.47","3.36","5.25","1.35"
"Iron-SI","MA-201423","Eisenberg","22.02","4.1","811.91","10.13","48.75","25.29","3.71","0.61","3.44","8.89","9.93","3.58","28.07","64.73","73.7","152.53","6.9","0.58","2.73","0.01","3.4","292.76","44.25","94.17","9.86","36.54","7.88","1.83","9.43","1.35","9.2","2.0","5.47","0.8","5.18","0.72","4.1","0.48","4.1","5.69","1.43"
"Iron-SI","MA-201423","Eisenberg","20.28","3.4","323.35","7.4","45.02","26.65","5.92","1.18","3.38","2.32","10.38","4.1","33.17","60.53","54.9","112.56","5.39","1.13","4.61","0.17","3.65","256.7","33.34","74.13","7.66","29.6","6.84","1.57","8.4","1.11","7.01","1.42","4.5","0.68","3.63","0.5","3.05","0.44","3.05","4.34","1.03"
"Iron-SI","MA-201423","Eisenberg","20.1","3.6","744.9","8.81","76.08","51.31","5.12","0.15","4.48","2.81","8.81","0.25","27.42","56.47","67.24","136.39","6.0","0.55","4.49","0.16","3.56","255.74","38.87","85.87","9.07","36.62","7.88","1.66","8.99","1.42","9.65","1.73","5.03","0.78","4.68","0.69","3.63","0.52","3.63","5.14","1.4"
"Iron-SI","MA-201423","Eisenberg","21.39","3.8","1476.24","8.37","58.09","39.1","23.77","29.15","6.85","3.17","10.44","36.32","29.45","58.21","65.7","135.98","6.38","1.04","3.43","0.39","3.71","260.81","39.14","84.82","8.85","36.33","8.14","1.66","9.22","1.38","8.81","1.79","5.29","0.7","4.29","0.63","3.51","0.48","3.51","5.14","1.33"
"Iron-SI-P","MA-201425","Eisenberg","29.76","5.51","996.6","8.84","123.56","366.99","1.46","7.25","12.69","54.03","17.26","1.42","32.46","118.87","31.82","72.72","4.35","0.25","0.16","0.26","2.7","369.7","20.33","36.78","4.84","19.26","4.72","0.96","4.06","0.55","4.7","0.83","2.9","0.3","2.98","0.39","2.08","0.23","2.08","3.59","6.02"
"Iron-SI-P","MA-201425","Eisenberg","27.21","1.82","1224.66","6.62","153.26","497.01","2.25","21.08","13.69","93.05","23.59","7.25","4.42","96.48","27.4","75.99","4.18","0.75","0.62","0.58","0.99","251.65","16.21","31.57","4.57","16.82","3.57","1.04","4.06","0.42","3.46","0.58","2.37","0.28","2.14","0.28","1.66","0.26","1.66","2.68","5.1"
"Iron-SI-P","MA-201425","Eisenberg","20.0","1.73","1200.08","8.82","88.35","239.96","3.66","36.89","12.41","29.5","15.26","7.94","39.83","242.55","18.02","149.01","5.12","0.68","0.39","0.32","1.73","306.96","16.82","34.43","4.01","16.6","3.15","0.77","3.33","0.53","2.7","0.65","1.58","0.33","1.57","0.23","4.12","0.49","4.12","4.95","2.61"
"Iron-SI-P","MA-201425","Eisenberg","25.66","3.02","1140.44","8.09","121.72","367.99","2.46","21.74","12.93","58.86","18.7","5.54","25.57","152.64","25.75","99.24","4.55","0.56","0.39","0.39","1.8","309.43","17.79","34.26","4.47","17.56","3.81","0.92","3.82","0.5","3.62","0.69","2.28","0.3","2.23","0.3","2.62","0.32","2.62","3.74","4.58"
"Iron-SI-P","MA-201426","Eisenberg","15.46","4.43","1784.49","7.6","28.2","17.91","38.19","23.45","5.0","4.96","10.34","2.38","33.67","111.7","46.09","121.56","4.55","0.28","0.56","0.04","2.08","603.45","26.81","58.18","5.76","25.78","5.03","1.22","6.0","0.96","5.95","1.22","3.68","0.51","2.93","0.57","3.37","0.34","3.37","3.96","1.11"
"Iron-SI-P","MA-201426","Eisenberg","13.7","6.51","888.84","6.87","18.56","10.63","137.99","67.96","15.86","3.24","11.19","2.53","42.63","125.84","51.67","139.76","6.17","0.6","0.73","0.01","2.48","667.44","34.72","76.01","7.48","30.95","6.26","1.45","7.47","1.14","7.73","1.43","4.59","0.45","3.17","0.43","3.59","0.43","3.59","4.41","1.4"
"Iron-SI-P","MA-201426","Eisenberg","15.04","3.93","1447.0","8.2","33.15","17.48","66.86","84.3","3.43","4.29","10.72","13.39","32.7","108.27","50.87","155.21","6.06","0.2","1.11","0.06","1.91","572.54","30.7","64.55","6.53","27.01","6.0","1.47","6.84","0.97","6.64","1.44","4.05","0.52","3.63","0.47","3.77","0.44","3.77","4.12","1.17"
"Iron-SI-P","MA-201426","Eisenberg","8.67","1.99","405.48","5.62","130.35","133.41","73.45","49.09","4.32","3.58","7.16","10.19","7.08","45.92","13.71","62.85","1.68","0.49","0.24","0.01","0.55","179.84","7.77","18.2","1.84","7.19","1.6","0.34","1.88","0.25","1.6","0.42","1.02","0.24","1.05","0.19","1.9","0.14","1.9","1.06","0.46"
"Iron-SI-P","MA-201426","Eisenberg","15.81","4.66","1514.55","7.44","20.56","19.33","28.04","13.39","1.78","0.48","8.44","3.16","34.97","109.13","45.51","113.88","4.87","0.41","0.55","0.07","2.46","542.25","26.88","58.3","5.28","22.12","5.49","1.22","5.64","1.03","5.82","1.26","3.66","0.41","3.41","0.47","3.48","0.32","3.48","3.56","1.1"
"Iron-SI-P","MA-201426","Eisenberg","13.21","5.62","1320.75","6.34","43.26","33.82","147.07","249.88","29.51","1.92","14.18","1.01","33.73","90.54","50.42","137.04","5.65","2.06","0.59","0.07","2.17","582.49","29.52","63.92","6.21","27.61","6.7","1.21","6.86","1.0","7.2","1.43","3.42","0.41","4.05","0.49","3.07","0.43","3.07","3.62","1.17"
"Iron-SI-P","MA-201426","Eisenberg","12.4","3.75","1264.6","6.67","45.64","30.05","165.82","323.93","19.88","1.39","10.88","2.41","30.06","79.44","40.77","113.1","4.4","0.89","0.82","0.08","1.9","499.48","24.77","52.19","4.81","20.48","4.37","1.16","5.35","0.84","5.19","1.17","3.19","0.39","2.93","0.4","3.0","0.34","3.0","3.29","1.22"
"Iron-SI-P","MA-201426","Eisenberg","13.96","4.7","1218.08","7.36","39.43","30.84","79.82","98.26","10.52","14.62","10.73","6.19","33.44","105.7","45.35","126.64","4.99","0.57","0.75","0.09","2.04","583.69","27.36","59.29","5.72","24.23","5.19","1.19","6.1","0.92","5.85","1.23","3.66","0.47","3.29","0.49","3.35","0.38","3.35","3.57","1.13"
"Iron-SI-P","MA-201427","Eisenberg","18.03","5.42","1538.76","14.98","122.89","134.61","8.89","20.71","5.91","16.4","11.76","0.55","37.18","91.78","28.4","225.87","9.63","1.0","0.85","0.47","1.82","361.01","22.69","41.7","5.13","21.29","5.74","0.88","5.38","0.61","5.86","0.99","2.62","0.48","3.02","0.45","5.41","0.59","5.41","5.19","4.4"
"Iron-SI-P","MA-201427","Eisenberg","30.09","12.09","826.11","14.79","289.49","310.1","9.33","69.61","9.34","5.22","11.8","6.45","49.67","129.3","57.6","277.37","12.28","0.73","0.88","0.5","2.26","637.11","34.69","72.41","8.83","37.06","8.0","1.94","8.47","1.33","7.94","1.51","4.38","0.57","4.75","0.7","8.3","0.88","8.3","7.15","13.07"
"Iron-SI-P","MA-201427","Eisenberg","14.32","4.78","940.07","7.52","43.34","45.38","4.39","1.03","1.23","8.24","8.67","0.01","39.23","85.38","35.71","215.54","8.17","0.71","0.39","0.08","1.74","410.57","23.62","45.44","6.24","26.15","6.24","1.1","5.25","1.03","5.97","1.08","3.33","0.45","2.79","0.44","4.99","0.44","4.99","5.22","4.87"
"Iron-SI-P","MA-201427","Eisenberg","15.96","4.3","2788.96","12.04","177.09","215.91","4.5","5.72","6.13","14.03","20.18","1.05","24.75","65.73","28.7","151.46","6.99","2.57","0.87","0.34","0.86","293.76","18.07","38.27","4.56","18.91","4.87","0.95","5.73","0.85","4.5","0.85","2.6","0.34","2.43","0.38","4.28","0.4","4.28","5.2","5.63"
"Iron-SI-P","MA-201427","Eisenberg","20.19","0.69","1096.16","7.4","122.49","176.48","1.98","10.44","4.85","24.94","29.57","2.9","18.33","146.88","19.49","172.9","7.97","1.85","0.25","0.08","0.61","264.83","20.8","41.97","5.07","15.85","2.63","1.02","3.31","0.6","3.59","0.64","1.78","0.26","1.64","0.18","3.92","0.51","3.92","6.23","3.19"
"Iron-SI-P","MA-201427","Eisenberg","16.32","6.08","1091.46","8.87","99.9","134.55","6.55","13.93","7.94","17.31","22.04","3.42","33.49","108.21","34.0","146.22","6.93","2.05","0.45","0.18","1.04","420.33","27.81","54.61","6.56","28.23","6.53","1.6","5.75","1.05","5.73","0.88","3.49","0.41","2.63","0.39","3.6","0.53","3.6","6.86","6.86"
"Iron-SI-P","MA-201427","Eisenberg","19.35","2.09","1509.24","11.23","141.0","163.88","3.41","6.61","10.42","42.64","12.86","4.01","13.92","46.63","19.65","95.51","4.14","2.18","0.18","0.21","0.53","171.31","11.84","24.37","2.77","11.02","2.62","0.49","3.63","0.39","2.12","0.63","2.0","0.39","2.08","0.35","3.13","0.27","3.13","3.27","3.7"
"Iron-SI-P","MA-201427","Eisenberg","22.09","1.75","1350.02","10.47","165.37","189.56","8.25","25.08","8.12","31.5","14.78","5.7","9.78","21.89","13.34","91.85","3.51","2.52","0.1","0.99","0.13","97.15","6.77","11.11","1.6","7.95","1.16","0.32","1.45","0.43","2.82","0.45","1.63","0.13","1.79","0.26","2.33","0.2","2.33","2.44","2.8"
"Iron-SI-P","MA-201427","Eisenberg","23.28","4.46","2430.28","11.31","104.49","109.82","18.08","45.85","15.26","27.27","20.24","9.23","0.42","60.14","27.36","100.76","3.59","4.53","0.19","0.18","0.29","167.87","17.79","41.55","4.85","20.7","4.39","1.13","6.14","0.47","4.43","0.4","2.11","0.2","1.9","0.42","3.18","0.4","3.18","4.93","5.8"
"Iron-SI-P","MA-201427","Eisenberg","23.68","0.01","2511.6","7.42","131.45","153.74","16.32","14.37","14.47","68.67","20.22","6.91","14.98","73.88","26.7","115.5","3.98","3.25","0.11","2.63","0.18","145.62","12.39","27.8","4.08","14.93","4.25","0.83","5.74","0.88","5.32","0.89","1.6","0.19","3.07","0.2","2.95","0.35","2.95","4.33","3.68"
"Iron-SI-P","MA-201427","Eisenberg","17.75","7.79","1022.16","9.61","160.96","228.62","4.38","0.51","5.77","6.09","6.19","0.44","36.93","80.0","50.86","207.53","7.88","0.33","0.34","0.01","1.95","485.99","32.07","58.41","8.23","34.32","8.33","1.61","7.8","1.21","6.89","1.46","4.43","0.56","3.68","0.52","5.5","0.59","5.5","5.7","6.87"
"Iron-SI-P","MA-201427","Eisenberg","15.05","5.61","1379.26","11.37","168.05","214.48","1.23","1.78","5.54","7.91","24.32","0.16","30.43","78.68","29.98","171.64","8.5","2.51","0.75","0.01","1.05","343.52","20.96","43.75","5.49","22.04","5.59","1.1","6.04","0.73","4.9","1.03","3.04","0.37","2.3","0.36","4.09","0.43","4.09","6.1","6.48"
"Iron-SI-P","MA-201427","Eisenberg","20.38","4.71","1083.88","10.33","71.84","60.47","1.61","3.19","5.05","5.85","25.63","1.01","33.94","93.44","38.13","211.94","10.02","2.48","0.43","0.15","1.3","400.0","25.21","53.29","6.49","28.34","5.93","1.6","6.09","1.15","6.18","1.28","3.51","0.56","3.4","0.51","5.36","0.56","5.36","7.39","7.9"
"Iron-SI-P","MA-201427","Eisenberg","18.68","8.01","1407.02","9.57","170.07","240.14","14.89","21.05","5.71","11.47","6.22","0.91","35.43","82.5","52.13","210.18","8.76","0.27","0.42","0.01","1.71","451.18","31.88","57.92","8.4","34.39","7.76","1.83","8.53","1.22","7.64","1.45","3.92","0.56","3.66","0.57","5.66","0.53","5.66","5.56","6.48"
"Iron-SI-P","MA-201427","Eisenberg","18.53","5.11","1003.29","11.4","118.19","112.58","17.12","31.05","4.27","4.22","11.69","0.01","40.18","93.59","31.74","238.85","9.41","1.03","0.89","0.03","1.71","339.68","23.22","43.75","5.38","22.95","4.96","1.1","5.14","0.78","4.68","1.04","2.97","0.4","2.69","0.41","6.64","0.51","6.64","5.96","5.25"
"Iron-SI-P","MA-201427","Eisenberg","19.27","4.22","1556.11","10.09","135.91","166.69","8.19","14.97","7.79","21.83","17.83","2.98","24.38","79.3","31.01","159.53","6.81","2.13","0.42","0.4","0.95","298.44","20.73","41.4","5.29","21.64","4.92","1.13","5.44","0.81","4.9","0.92","2.76","0.37","2.61","0.38","4.22","0.44","4.22","5.33","5.39"
"Bloom","MA-200988-1A","Eisenberg","28.5","19.0","350.5","9.1","49.5","29.6","1.4","0.2","2.7","14.5","8.0","0.3","123.4","348.2","63.2","113.0","9.2","1.5","1.2",,"9.8","5113.0","29.3","54.8","7.2","33.4","8.6","2.3","12.9","2.1","12.4","2.5","6.3","0.8","4.8","0.6","3.0","0.7","1.0","8.5","14.4"
"Bloom","MA-200988-1A","Eisenberg","18.0","6.4","470.3","13.0","52.4","50.9","2.3","0.2","1.3","17.0","6.3","0.3","52.1","133.2","41.4","51.8","3.7","2.0","0.5",,"4.0","1793.0","10.5","22.0","2.9","13.0","3.5","0.9","5.9","1.0","6.9","1.5","4.6","0.7","4.7","0.8","1.6","0.3","0.5","3.4","6.6"
"Bloom","MA-200988-1A","Eisenberg","31.6","24.2","452.9","7.2","32.7","13.4","0.6","0.2","3.6","16.5","8.3","0.2","146.9","449.2","82.6","142.7","11.5","1.3","1.5",,"11.9","6654.7","40.2","72.8","9.8","46.0","12.4","3.3","18.2","2.8","16.9","3.3","8.3","1.0","5.9","0.8","4.2","0.9","1.3","12.1","18.0"
"Bloom","MA-200988-1A","Eisenberg","20.9","8.3","568.1","11.5","48.0","30.7","1.3","0.2","1.7","17.6","5.7","0.3","65.4","175.2","43.3","56.7","4.0","1.8","0.6",,"5.1","2629.9","14.3","25.3","3.4","15.8","4.4","1.2","6.9","1.1","7.7","1.7","4.9","0.8","4.7","0.8","1.7","0.3","0.5","4.3","6.3"
"Bloom","MA-200988-1A","Eisenberg","16.1","3.0","575.2","12.2","74.2","53.5","2.0","0.01","0.8","19.0","7.7","0.2","21.8","53.0","26.0","29.8","1.8","1.9","0.2",,"2.1","822.4","5.4","9.9","1.3","6.4","1.9","0.5","3.0","0.5","4.1","1.0","3.2","0.5","3.9","0.6","1.0","0.2","0.2","1.7","2.7"
"Bloom","MA-200988-1A","Eisenberg","20.9","10.4","492.8","11.7","44.1","18.6","0.8","0.1","1.9","16.7","7.2","0.01","84.8","216.5","57.8","79.4","5.5","1.8","0.8",,"5.9","2831.2","19.0","36.0","5.0","21.3","5.5","1.5","9.3","1.6","10.3","2.1","6.0","0.8","5.5","0.9","2.3","0.5","0.7","5.8","9.3"
"Bloom","MA-200988-1A","Eisenberg","16.9","7.3","404.0","8.0","38.2","21.7","1.1","0.1","1.3","16.7","6.4","0.1","63.6","156.1","38.1","54.4","4.2","1.2","0.6",,"5.4","2505.9","14.6","28.5","3.6","16.2","4.4","1.2","6.7","1.1","7.0","1.5","4.1","0.6","4.0","0.6","1.8","0.4","0.6","4.4","7.4"
"Bloom","MA-200988-1A","Eisenberg","16.4","7.6","405.3","8.6","36.9","20.3","1.1","0.2","1.2","14.8","5.4","0.2","63.5","165.1","38.4","53.5","4.2","1.4","0.7",,"5.2","2575.3","14.1","28.5","3.6","15.8","4.6","1.2","6.7","1.1","6.9","1.5","4.2","0.6","4.0","0.6","1.6","0.4","0.5","4.3","8.0"
"Bloom","MA-200988-1A","Eisenberg","20.6","13.4","475.2","9.5","32.8","24.7","34.9","9.3","4.0","16.2","6.0","0.2","104.4","281.4","57.2","86.0","6.9","1.6","1.1",,"9.4","4105.2","25.3","48.0","6.1","28.4","7.9","2.0","11.1","1.8","10.9","2.3","6.2","0.8","5.5","0.8","2.6","0.6","1.0","7.7","12.4"
"Bloom","MA-200988-1A","Eisenberg","30.8","15.4","368.4","7.6","56.9","43.7","5.5","1.2","2.9","19.0","7.0","0.01","158.0","359.8","58.3","97.9","8.2","1.5","1.3",,"12.7","5550.3","30.1","59.1","7.3","31.8","8.6","2.4","12.8","1.9","11.3","2.2","5.9","0.8","4.7","0.6","3.0","0.7","1.1","9.0","15.7"
"Bloom","MA-200988-1A","Eisenberg","20.0","9.6","385.5","10.1","47.2","31.6","1.9","0.3","1.8","18.0","5.6","0.3","78.3","213.2","43.0","65.2","5.3","1.6","0.8",,"6.2","3160.9","17.8","37.9","4.6","19.4","5.5","1.5","8.2","1.3","8.1","1.6","4.8","0.7","4.6","0.7","2.1","0.4","0.7","5.3","10.7"
"Bloom","MA-200988-1B","Eisenberg","30.3","12.4","170.9","8.5","31.4","13.1","0.6","0.2","3.0","12.7","7.0","0.01","115.2","249.8","43.3","68.5","6.9","1.2","0.9",,"8.9","4009.2","19.9","45.9","5.2","21.9","5.9","1.7","8.0","1.3","7.3","1.5","4.0","0.5","3.4","0.5","1.7","0.4","1.0","4.8","11.2"
"Bloom","MA-200988-1B","Eisenberg","25.3","13.1","207.2","7.6","14.5","1.8","0.8","0.3","3.1","13.7","8.2","0.3","115.3","256.6","45.6","63.3","6.8","1.2","1.2",,"8.5","4242.6","20.4","47.6","5.3","22.1","5.9","1.7","8.5","1.3","8.0","1.6","4.5","0.6","3.8","0.5","1.6","0.4","1.1","5.0","12.3"
"Bloom","MA-200988-1B","Eisenberg","24.7","13.8","226.2","8.5","19.1","3.7","2.7","0.2","3.4","16.7","7.2","0.3","95.6","255.5","48.5","76.1","7.6","1.5","1.3",,"8.2","4209.7","22.6","53.3","5.9","25.4","6.7","1.9","9.8","1.5","8.8","1.8","4.7","0.6","4.1","0.5","1.9","0.5","1.2","5.7","13.8"
"Bloom","MA-200988-1B","Eisenberg","23.0","9.8","212.4","8.8","29.4","8.8","0.7","0.2","1.2","14.9","7.3","0.3","81.4","201.3","42.6","61.5","5.5","1.3","0.7",,"6.7","3177.4","17.3","37.8","4.3","18.7","5.2","1.5","7.8","1.2","7.6","1.5","4.5","0.6","4.0","0.6","1.6","0.4","0.8","4.6","9.5"
"Bloom","MA-200988-1B","Eisenberg","27.2","13.3","242.8","7.6","19.2","4.8","1.2","0.2","1.4","14.9","7.5","0.3","111.1","276.5","44.4","69.6","7.1","1.0","1.0",,"8.7","4623.0","22.5","51.6","5.8","24.2","6.6","2.1","9.2","1.4","8.6","1.7","4.5","0.6","3.8","0.5","1.9","0.5","1.1","5.7","13.3"
"Bloom","MA-200988-1B","Eisenberg","19.6","10.5","291.1","8.8","33.6","10.3","7.0","0.5","6.5","16.8","7.5","0.5","77.6","208.6","42.2","64.7","5.7","1.3","0.9",,"6.8","3253.4","18.0","41.9","4.8","20.2","5.5","1.7","8.0","1.3","7.9","1.5","4.5","0.6","3.9","0.6","1.8","0.4","0.9","5.0","11.0"
"Bloom","MA-200988-1B","Eisenberg","29.8","10.7","223.4","7.9","39.1","11.0","0.5","0.01","2.1","18.2","8.8","0.4","88.0","215.4","40.2","64.4","5.9","1.2","0.8",,"7.0","3439.8","17.8","37.8","4.4","19.3","5.4","1.4","7.6","1.2","7.3","1.5","4.2","0.6","3.7","0.5","1.7","0.4","0.8","4.6","9.1"
"Bloom","MA-200988-1B","Eisenberg","26.5","11.5","236.0","8.4","39.2","12.7","0.6","0.1","2.5","17.5","8.4","0.3","92.1","220.0","41.4","65.4","6.0","1.3","0.8",,"7.1","3570.7","18.0","39.1","4.5","19.2","5.3","1.5","7.8","1.2","7.4","1.5","4.1","0.6","3.7","0.5","1.6","0.4","0.8","4.6","9.0"
"Bloom","MA-200988-1B","Eisenberg","29.3","12.6","232.3","8.9","35.0","12.0","0.6","0.2","2.1","14.5","7.0","0.4","90.1","245.4","44.0","71.2","6.3","1.2","1.0",,"8.1","3857.6","18.5","41.1","4.8","20.6","5.7","1.6","8.0","1.3","7.5","1.6","4.4","0.6","4.0","0.6","1.9","0.4","0.9","4.5","9.8"
"Bloom","MA-200988-1B","Eisenberg","32.8","19.0","174.2","6.4","20.8","5.3","0.3","0.2","5.2","13.5","8.0","0.3","172.6","362.3","54.8","95.4","10.2","1.0","1.6",,"12.7","5880.5","31.3","74.3","8.2","33.4","9.4","2.7","12.5","1.9","11.1","2.1","5.5","0.7","4.0","0.5","2.4","0.7","1.5","8.0","18.5"
"Bloom","MA-200988-1B","Eisenberg","27.5","9.7","219.8","8.9","44.8","14.8","0.7","0.01","2.4","18.3","8.1","0.3","75.5","182.0","34.1","55.3","5.3","1.5","0.9",,"7.0","3031.2","14.4","35.8","4.0","16.1","4.4","1.2","6.3","1.1","6.2","1.3","3.7","0.5","3.3","0.5","1.5","0.4","0.8","3.9","10.1"
"Bloom","MA-200988-1B","Eisenberg","32.5","16.3","202.8","8.0","35.2","12.1","0.6","0.2","3.2","14.5","6.9","0.3","113.3","325.5","44.4","84.9","8.3","1.4","1.5",,"10.3","5245.0","22.6","52.1","5.9","25.1","6.6","1.9","9.6","1.5","8.6","1.7","4.6","0.6","3.6","0.5","2.1","0.6","1.3","5.9","13.9"
"Bloom","MA-200988-1B","Eisenberg","38.4","15.9","171.3","6.0","20.2","10.2","2.4","0.5","3.5","15.9","7.4","0.4","142.3","330.3","47.3","79.6","8.1","1.2","1.4",,"11.5","5116.5","25.6","57.4","6.5","26.9","7.1","2.0","10.1","1.5","8.8","1.7","4.5","0.6","3.5","0.5","2.0","0.5","1.1","6.4","13.7"
"Bloom","MA-200988-1B","Eisenberg","21.9","10.8","190.9","8.2","33.2","13.6","1.6","0.01","2.7","16.4","6.8","0.2","103.8","239.5","38.9","64.6","5.7","1.3","0.9",,"7.9","3440.0","18.2","39.4","4.5","18.7","5.0","1.4","7.2","1.1","6.7","1.4","3.8","0.5","3.3","0.5","1.7","0.4","0.8","4.3","9.3"
"Bloom","MA-200988-1B","Eisenberg","26.7","9.3","196.5","8.2","70.6","52.6","1.8","0.2","3.1","19.2","7.2","0.4","99.8","193.6","36.4","65.7","5.4","1.6","0.8",,"7.9","2897.3","16.3","35.2","4.1","17.3","5.0","1.3","6.9","1.1","6.2","1.2","3.6","0.5","2.9","0.4","1.6","0.4","0.7","4.1","8.5"
"Bloom","MA-200988-2B","Eisenberg","34.5","15.8","797.5","10.2","197.0","74.9","928.0","328.7","117.5","149.1","11.6","50.9","61.8","48.9","48.5","133.6","9.2","7.0","1.3",,"9.0","596.3","30.4","65.2","8.1","34.0","8.5","2.0","12.3","2.0","10.4","2.2","5.3","0.7","4.2","0.5","3.9","0.7","0.9","8.1","15.5"
"Bloom","MA-200988-2B","Eisenberg","26.4","13.5","211.8","7.2","65.9","30.6","6.0","2.8","2.4","16.5","7.3","0.01","118.0","309.3","47.5","90.9","7.3","1.6","1.1",,"9.5","4431.9","24.0","50.9","6.2","26.5","6.9","1.9","10.6","1.6","9.6","1.9","4.9","0.6","4.1","0.5","2.8","0.6","1.0","7.3","14.4"
"Bloom","MA-200988-2B","Eisenberg","19.5","6.8","220.1","7.4","56.1","30.1","2.2","0.4","1.4","20.8","9.1","0.01","57.3","141.5","29.9","43.4","3.7","1.6","0.5",,"4.8","2138.9","12.3","25.9","3.2","13.5","3.5","1.0","5.5","0.9","5.5","1.2","3.3","0.5","3.0","0.5","1.3","0.3","0.6","3.7","7.2"
"Bloom","MA-200988-2B","Eisenberg","26.0","10.8","269.3","9.0","38.9","12.5","0.6","0.01","3.2","15.1","7.5","0.01","119.0","233.7","52.6","76.5","6.0","1.5","0.8",,"8.2","3865.4","24.1","50.7","6.1","25.9","6.8","1.9","10.2","1.7","9.9","2.0","5.5","0.7","4.8","0.7","2.3","0.5","1.0","6.8","12.8"
"Bloom","MA-200988-2B","Eisenberg","26.8","9.3","269.3","9.4","33.6","10.4","0.8","0.1","1.8","17.2","7.7","0.3","95.2","221.4","43.8","56.4","4.6","1.5","0.8",,"7.2","3501.8","18.4","39.2","4.6","19.4","5.6","1.6","7.9","1.4","7.6","1.6","4.7","0.6","4.5","0.7","1.7","0.4","0.8","5.1","9.8"
