"Material","Sample","Site","Li","Be","Na2O (%)","MgO (%)","Al2O3 (%)","SiO2 (%)","P2O5 (%)","S","K2O (%)","CaO (%)","Sc","TiO2 (%)","V","Cr","MnO (%)","Fe2O3 (%)","Co","Ni","Cu","As","Rb","Y","Zr","Nb","Mo","Sn","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Th","U"
"Iron-SI","MA-201422","Eisenberg","41.47","5.23","0.21901","0.268982","8.955453","35.867568","1.023916","766.83","3.731178","4.452344","7.15","0.416316","63.77","48.8","0.874971","43.952741","4.83","10.64","20.41","1.38","170.19","29.36","172.59","14.8","0.01","1.81","555.69","30.48","72.6","8.52","37.57","9.42","0.87","6.12","0.92","4.93","0.79","3.1","0.37","1.99","0.24","4.69","0.83","4.69","9.35","5.2"
"Iron-SI","MA-201422","Eisenberg","25.59","7.64","0.290346","0.663292","5.363485","31.933203","1.741443","723.42","1.854909","2.828384","11.85","0.348088","209.65","207.48","0.347323","54.394607","1.42","1.54","3.4","0.19","43.29","42.32","225.95","10.43","1.1","1.33","479.18","26.67","51.78","6.58","27.69","6.58","1.43","5.91","0.81","5.82","1.17","4.05","0.47","3.31","0.52","5.32","0.66","5.32","6.11","9.83"
"Iron-SI","MA-201422","Eisenberg","24.99","6.87","0.207819","0.557983","3.956969","27.583222","2.630295","1449.61","1.42088","1.587053","9.95","0.266752","229.29","231.2","0.354305","61.141385","8.13","39.89","6.08","2.38","31.81","34.08","163.91","7.77","2.18","0.5","390.55","19.83","40.69","4.97","22.35","4.72","1.13","5.08","0.77","5.65","0.92","3.39","0.41","2.89","0.31","3.77","0.4","3.77","4.16","8.04"
"Iron-SI","MA-201422","Eisenberg","23.46","9.35","0.339647","0.469841","5.339193","29.081566","5.221788","593.3","2.016812","2.248814","11.45","0.329388","190.33","206.18","0.31136","54.397561","7.75","59.38","8.71","9.97","44.12","48.82","268.67","11.89","1.71","1.73","550.71","30.71","58.79","7.59","32.14","7.44","1.62","6.73","1.04","7.63","1.57","4.09","0.54","3.58","0.49","6.74","0.72","6.74","6.91","12.07"
"Iron-SI","MA-201422","Eisenberg","23.27","5.67","0.176728","0.675763","4.172717","31.092213","2.864227","1424.2","1.032297","1.619565","9.64","0.278401","217.84","275.42","0.380941","57.399805","17.06","132.01","14.61","19.45","26.66","33.16","177.57","7.53","0.61","1.41","393.71","20.1","40.32","5.68","24.72","4.65","1.05","4.43","0.84","5.11","1.05","2.61","0.28","2.69","0.3","4.57","0.47","4.57","4.25","8.38"
"Iron-SI","MA-201423","Eisenberg","20.78","3.42","0.091819","0.238722","4.158383","26.960812","2.023741","680.29","0.868722","2.273968","8.55","0.214928","61.27","42.23","0.356623","62.648593","5.02","1.33","4.08","0.29","26.93","62.77","130.17","5.74","0.76","3.14","232.9","35.68","77.77","8.07","35.37","7.84","1.57","9.2","1.27","8.72","1.74","5.03","0.67","4.21","0.66","3.44","0.53","3.44","4.82","1.18"
"Iron-SI","MA-201423","Eisenberg","20.32","5.22","0.08807","0.232469","4.106785","26.667887","2.005107","2973.77","0.876651","2.273739","8.66","0.214288","66.17","46.06","0.354947","62.786067","5.35","0.01","5.24","0.07","27.37","61.15","130.13","6.13","0.98","2.35","234.18","35.1","76.61","7.88","31.87","8.0","1.38","9.36","1.36","8.88","1.65","5.21","0.76","3.75","0.69","3.15","0.5","3.15","4.53","1.23"
"Iron-SI","MA-201423","Eisenberg","21.68","3.46","0.089509","0.286326","4.00343","28.826523","2.290066","2404.04","0.890137","2.425448","10.28","0.2356","81.44","59.98","0.410281","60.202184","6.48","2.06","6.05","5.67","27.77","65.28","133.13","5.92","0.75","3.36","227.23","34.56","77.21","8.12","34.39","7.3","1.39","8.17","1.34","8.86","1.82","5.55","0.69","4.32","0.63","3.07","0.39","3.07","4.39","1.2"
"Iron-SI","MA-201423","Eisenberg","21.7","4.2","0.10975","0.234035","4.895276","26.57271","2.335679","1158.74","1.074387","2.858958","8.19","0.242173","67.24","43.88","0.339689","61.107421","3.83","1.06","4.07","1.28","32.44","71.37","156.05","7.19","0.81","3.21","305.5","42.86","94.18","10.07","40.71","8.72","1.78","10.15","1.58","9.96","1.99","5.6","0.79","5.02","0.63","3.65","0.53","3.65","5.7","1.56"
"Iron-SI","MA-201423","Eisenberg","23.7","3.65","0.103561","0.252874","4.632475","29.76465","2.432094","934.29","0.977152","2.661303","9.29","0.222323","47.02","28.09","0.3756","58.381524","3.72","0.01","4.13","0.24","30.2","71.83","146.01","7.04","0.22","3.36","270.52","41.51","90.21","9.48","38.58","9.34","1.79","9.53","1.61","9.38","2.05","5.55","0.72","4.53","0.73","3.74","0.53","3.74","5.83","1.52"
"Iron-SI","MA-201423","Eisenberg","21.56","4.69","0.116507","0.206034","4.810404","27.078212","4.163626","1162.41","1.173305","2.855498","7.1","0.223405","45.84","28.43","0.337153","58.811402","4.12","0.01","5.13","2.2","35.24","70.96","149.19","7.11","0.58","3.6","290.79","44.53","95.81","10.28","40.45","9.75","1.91","10.27","1.57","9.18","2.04","5.95","0.72","4.04","0.65","3.87","0.5","3.87","6.0","1.39"
"Iron-SI","MA-201423","Eisenberg","21.54","4.22","0.088332","0.178867","4.045911","22.132366","3.463665","1028.1","0.894721","2.512562","5.82","0.143556","26.13","21.29","0.266903","66.074933","6.55","0.35","3.61","0.33","27.7","61.35","117.5","5.95","1.37","2.89","266.78","39.25","84.05","8.4","36.56","8.64","1.55","9.64","1.29","7.57","1.63","4.76","0.53","3.9","0.45","3.36","0.47","3.36","5.25","1.35"
"Iron-SI","MA-201423","Eisenberg","22.02","4.1","0.093236","0.292453","5.18324","31.090285","1.730318","811.91","0.850478","2.843238","10.13","0.265175","48.75","25.29","0.382726","57.078838","3.71","0.61","3.44","3.58","28.07","73.7","152.53","6.9","0.58","2.73","292.76","44.25","94.17","9.86","36.54","7.88","1.83","9.43","1.35","9.2","2.0","5.47","0.8","5.18","0.72","4.1","0.48","4.1","5.69","1.43"
"Iron-SI","MA-201423","Eisenberg","20.28","3.4","0.14715","0.261425","3.803194","23.039574","3.505613","323.35","1.124317","2.666422","7.4","0.181609","45.02","26.65","0.301554","64.84379","5.92","1.18","3.38","4.1","33.17","54.9","112.56","5.39","1.13","4.61","256.7","33.34","74.13","7.66","29.6","6.84","1.57","8.4","1.11","7.01","1.42","4.5","0.68","3.63","0.5","3.05","0.44","3.05","4.34","1.03"
"Iron-SI","MA-201423","Eisenberg","20.1","3.6","0.064846","0.269249","4.402892","28.849762","2.598133","744.9","0.796877","2.443967","8.81","0.249178","76.08","51.31","0.391841","59.75512","5.12","0.15","4.48","0.25","27.42","67.24","136.39","6.0","0.55","4.49","255.74","38.87","85.87","9.07","36.62","7.88","1.66","8.99","1.42","9.65","1.73","5.03","0.78","4.68","0.69","3.63","0.52","3.63","5.14","1.4"
"Iron-SI","MA-201423","Eisenberg","21.39","3.8","0.098672","0.239203","4.383618","26.700393","2.690237","1476.24","0.95172","2.539395","8.37","0.220273","58.09","39.1","0.347077","61.571528","23.77","29.15","6.85","36.32","29.45","65.7","135.98","6.38","1.04","3.43","260.81","39.14","84.82","8.85","36.33","8.14","1.66","9.22","1.38","8.81","1.79","5.29","0.7","4.29","0.63","3.51","0.48","3.51","5.14","1.33"
"Iron-SI-P","MA-201425","Eisenberg","29.76","5.51","0.147609","0.489308","4.354801","25.206649","6.410275","996.6","1.322356","1.523666","8.84","0.181437","123.56","366.99","0.783438","59.336107","1.46","7.25","12.69","1.42","32.46","31.82","72.72","4.35","0.25","0.16","369.7","20.33","36.78","4.84","19.26","4.72","0.96","4.06","0.55","4.7","0.83","2.9","0.3","2.98","0.39","2.08","0.23","2.08","3.59","6.02"
"Iron-SI-P","MA-201425","Eisenberg","27.21","1.82","0.119189","0.489308","5.539637","22.05227","7.752734","1224.66","0.203767","1.287702","6.62","0.203111","153.26","497.01","0.659446","61.493314","2.25","21.08","13.69","7.25","4.42","27.4","75.99","4.18","0.75","0.62","251.65","16.21","31.57","4.57","16.82","3.57","1.04","4.06","0.42","3.46","0.58","2.37","0.28","2.14","0.28","1.66","0.26","1.66","2.68","5.1"
"Iron-SI-P","MA-201425","Eisenberg","20.0","1.73","0.516882","1.666032","4.0669","33.128823","7.054892","1200.08","1.672712","11.722269","8.82","0.234226","88.35","239.96","0.290937","39.388794","3.66","36.89","12.41","7.94","39.83","18.02","149.01","5.12","0.68","0.39","306.96","16.82","34.43","4.01","16.6","3.15","0.77","3.33","0.53","2.7","0.65","1.58","0.33","1.57","0.23","4.12","0.49","4.12","4.95","2.61"
"Iron-SI-P","MA-201426","Eisenberg","15.46","4.43","0.117909","0.309776","2.951374","27.155502","2.481861","1784.49","1.346468","4.046455","7.6","0.169314","28.2","17.91","0.895162","60.21625","38.19","23.45","5.0","2.38","33.67","46.09","121.56","4.55","0.28","0.56","603.45","26.81","58.18","5.76","25.78","5.03","1.22","6.0","0.96","5.95","1.22","3.68","0.51","2.93","0.57","3.37","0.34","3.37","3.96","1.11"
"Iron-SI-P","MA-201426","Eisenberg","13.7","6.51","0.135603","0.220411","3.420916","26.251091","2.609672","888.84","1.613035","4.691481","6.87","0.168657","18.56","10.63","0.776505","59.863484","137.99","67.96","15.86","2.53","42.63","51.67","139.76","6.17","0.6","0.73","667.44","34.72","76.01","7.48","30.95","6.26","1.45","7.47","1.14","7.73","1.43","4.59","0.45","3.17","0.43","3.59","0.43","3.59","4.41","1.4"
"Iron-SI-P","MA-201426","Eisenberg","15.04","3.93","0.124328","0.307212","3.412796","28.37518","4.513176","1447.0","1.305145","4.318392","8.2","0.238052","33.15","17.48","0.878493","56.239425","66.86","84.3","3.43","13.39","32.7","50.87","155.21","6.06","0.2","1.11","572.54","30.7","64.55","6.53","27.01","6.0","1.47","6.84","0.97","6.64","1.44","4.05","0.52","3.63","0.47","3.77","0.44","3.77","4.12","1.17"
"Iron-SI-P","MA-201426","Eisenberg","8.67","1.99","0.083514","0.257004","1.394549","9.566187","1.164883","405.48","0.399734","1.493505","5.62","0.19389","130.35","133.41","0.686464","84.630568","73.45","49.09","4.32","10.19","7.08","13.71","62.85","1.68","0.49","0.24","179.84","7.77","18.2","1.84","7.19","1.6","0.34","1.88","0.25","1.6","0.42","1.02","0.24","1.05","0.19","1.9","0.14","1.9","1.06","0.46"
"Iron-SI-P","MA-201426","Eisenberg","15.81","4.66","0.105979","0.321917","2.884891","28.468509","2.724454","1514.55","1.253381","4.697643","7.44","0.150427","20.56","19.33","0.927575","58.194282","28.04","13.39","1.78","3.16","34.97","45.51","113.88","4.87","0.41","0.55","542.25","26.88","58.3","5.28","22.12","5.49","1.22","5.64","1.03","5.82","1.26","3.66","0.41","3.41","0.47","3.48","0.32","3.48","3.56","1.1"
"Iron-SI-P","MA-201426","Eisenberg","13.21","5.62","0.142499","0.259622","3.087211","24.127369","3.58304","1320.75","1.288858","3.477473","6.34","0.184548","43.26","33.82","0.829272","62.719375","147.07","249.88","29.51","1.01","33.73","50.42","137.04","5.65","2.06","0.59","582.49","29.52","63.92","6.21","27.61","6.7","1.21","6.86","1.0","7.2","1.43","3.42","0.41","4.05","0.49","3.07","0.43","3.07","3.62","1.17"
"Iron-SI-P","MA-201426","Eisenberg","12.4","3.75","0.127323","0.290157","2.72686","23.263217","3.17087","1264.6","1.097225","3.032394","6.67","0.191462","45.64","30.05","0.834901","64.978634","165.82","323.93","19.88","2.41","30.06","40.77","113.1","4.4","0.89","0.82","499.48","24.77","52.19","4.81","20.48","4.37","1.16","5.35","0.84","5.19","1.17","3.19","0.39","2.93","0.4","3.0","0.34","3.0","3.29","1.22"
"Iron-SI-P","MA-201427","Eisenberg","18.03","5.42","0.327977","0.49893","4.992864","31.008776","1.961081","1538.76","1.403017","1.860498","14.98","0.395105","122.89","134.61","0.319323","56.947485","8.89","20.71","5.91","0.55","37.18","28.4","225.87","9.63","1.0","0.85","361.01","22.69","41.7","5.13","21.29","5.74","0.88","5.38","0.61","5.86","0.99","2.62","0.48","3.02","0.45","5.41","0.59","5.41","5.19","4.4"
"Iron-SI-P","MA-201427","Eisenberg","30.09","12.09","0.317131","0.623462","7.437526","38.362073","1.956221","826.11","1.98961","2.715209","14.79","0.501438","289.49","310.1","0.436338","45.357506","9.33","69.61","9.34","6.45","49.67","57.6","277.37","12.28","0.73","0.88","637.11","34.69","72.41","8.83","37.06","8.0","1.94","8.47","1.33","7.94","1.51","4.38","0.57","4.75","0.7","8.3","0.88","8.3","7.15","13.07"
"Iron-SI-P","MA-201427","Eisenberg","14.32","4.78","0.302104","0.306818","3.559246","30.628369","3.346314","940.07","1.550613","1.933397","7.52","0.216486","43.34","45.38","0.47828","57.469625","4.39","1.03","1.23","0.01","39.23","35.71","215.54","8.17","0.71","0.39","410.57","23.62","45.44","6.24","26.15","6.24","1.1","5.25","1.03","5.97","1.08","3.33","0.45","2.79","0.44","4.99","0.44","4.99","5.22","4.87"
"Iron-SI-P","MA-201427","Eisenberg","15.96","4.3","0.19688","0.370241","3.384686","25.299293","2.525791","2788.96","1.163239","1.514996","12.04","0.232953","177.09","215.91","0.418833","64.488972","4.5","5.72","6.13","1.05","24.75","28.7","151.46","6.99","2.57","0.87","293.76","18.07","38.27","4.56","18.91","4.87","0.95","5.73","0.85","4.5","0.85","2.6","0.34","2.43","0.38","4.28","0.4","4.28","5.2","5.63"
"Iron-SI-P","MA-201427","Eisenberg","20.19","0.69","0.542516","0.95892","4.670657","28.259561","3.312346","1096.16","0.861112","6.05923","7.4","0.308639","122.49","176.48","0.145213","54.649455","1.98","10.44","4.85","2.9","18.33","19.49","172.9","7.97","1.85","0.25","264.83","20.8","41.97","5.07","15.85","2.63","1.02","3.31","0.6","3.59","0.64","1.78","0.26","1.64","0.18","3.92","0.51","3.92","6.23","3.19"
"Iron-SI-P","MA-201427","Eisenberg","16.32","6.08","0.259308","0.399334","4.207177","24.722688","3.695149","1091.46","1.492454","2.397508","8.87","0.196109","99.9","134.55","0.345494","62.042599","6.55","13.93","7.94","3.42","33.49","34.0","146.22","6.93","2.05","0.45","420.33","27.81","54.61","6.56","28.23","6.53","1.6","5.75","1.05","5.73","0.88","3.49","0.41","2.63","0.39","3.6","0.53","3.6","6.86","6.86"
"Iron-SI-P","MA-201427","Eisenberg","19.35","2.09","0.098261","0.494001","2.08868","30.548001","3.011942","1509.24","0.556696","1.134446","11.23","0.179388","141.0","163.88","0.462064","61.175731","3.41","6.61","10.42","4.01","13.92","19.65","95.51","4.14","2.18","0.18","171.31","11.84","24.37","2.77","11.02","2.62","0.49","3.63","0.39","2.12","0.63","2.0","0.39","2.08","0.35","3.13","0.27","3.13","3.27","3.7"
"Iron-SI-P","MA-201427","Eisenberg","22.09","1.75","0.071409","0.565723","2.113927","26.701073","3.304586","1350.02","0.299556","0.647554","10.47","0.203173","165.37","189.56","0.452719","65.419812","8.25","25.08","8.12","5.7","9.78","13.34","91.85","3.51","2.52","0.1","97.15","6.77","11.11","1.6","7.95","1.16","0.32","1.45","0.43","2.82","0.45","1.63","0.13","1.79","0.26","2.33","0.2","2.33","2.44","2.8"
"Iron-SI-P","MA-201427","Eisenberg","23.28","4.46","0.138381","0.489745","2.996898","32.920893","3.587052","2430.28","0.069033","1.160635","11.31","0.174452","104.49","109.82","0.438427","57.683482","18.08","45.85","15.26","9.23","0.42","27.36","100.76","3.59","4.53","0.19","167.87","17.79","41.55","4.85","20.7","4.39","1.13","6.14","0.47","4.43","0.4","2.11","0.2","1.9","0.42","3.18","0.4","3.18","4.93","5.8"
"Iron-SI-P","MA-201427","Eisenberg","23.68","0.01","0.110911","0.450489","2.090013","32.779783","2.650306","2511.6","0.602425","1.03667","7.42","0.13698","131.45","153.74","0.446163","59.341685","16.32","14.37","14.47","6.91","14.98","26.7","115.5","3.98","3.25","0.11","145.62","12.39","27.8","4.08","14.93","4.25","0.83","5.74","0.88","5.32","0.89","1.6","0.19","3.07","0.2","2.95","0.35","2.95","4.33","3.68"
"Iron-SI-P","MA-201427","Eisenberg","17.75","7.79","0.265055","0.344238","4.358914","30.189237","2.818435","1022.16","1.413847","1.811155","9.61","0.272742","160.96","228.62","0.807458","57.459616","4.38","0.51","5.77","0.44","36.93","50.86","207.53","7.88","0.33","0.34","485.99","32.07","58.41","8.23","34.32","8.33","1.61","7.8","1.21","6.89","1.46","4.43","0.56","3.68","0.52","5.5","0.59","5.5","5.7","6.87"
"Iron-SI-P","MA-201427","Eisenberg","15.05","5.61","0.218283","0.447285","4.082797","22.682597","3.454039","1379.26","1.311337","1.904633","11.37","0.253786","168.05","214.48","0.398742","64.974896","1.23","1.78","5.54","0.16","30.43","29.98","171.64","8.5","2.51","0.75","343.52","20.96","43.75","5.49","22.04","5.59","1.1","6.04","0.73","4.9","1.03","3.04","0.37","2.3","0.36","4.09","0.43","4.09","6.1","6.48"
"Iron-SI-P","MA-201427","Eisenberg","20.38","4.71","0.271578","0.428316","5.332778","28.038806","4.427057","1083.88","1.556035","2.260074","10.33","0.232964","71.84","60.47","0.443017","56.777353","1.61","3.19","5.05","1.01","33.94","38.13","211.94","10.02","2.48","0.43","400.0","25.21","53.29","6.49","28.34","5.93","1.6","6.09","1.15","6.18","1.28","3.51","0.56","3.4","0.51","5.36","0.56","5.36","7.39","7.9"
"Iron-SI-P","MA-201427","Eisenberg","18.68","8.01","0.261153","0.322164","4.426183","29.7018","2.843981","1407.02","1.356289","1.819985","9.57","0.282708","170.07","240.14","0.763195","57.921949","14.89","21.05","5.71","0.91","35.43","52.13","210.18","8.76","0.27","0.42","451.18","31.88","57.92","8.4","34.39","7.76","1.83","8.53","1.22","7.64","1.45","3.92","0.56","3.66","0.57","5.66","0.53","5.66","5.56","6.48"
"Iron-SI-P","MA-201427","Eisenberg","18.53","5.11","0.293389","0.427238","5.116228","32.224528","1.661429","1003.29","1.534897","1.659359","11.4","0.384984","118.19","112.58","0.316013","56.152434","17.12","31.05","4.27","0.01","40.18","31.74","238.85","9.41","1.03","0.89","339.68","23.22","43.75","5.38","22.95","4.96","1.1","5.14","0.78","4.68","1.04","2.97","0.4","2.69","0.41","6.64","0.51","6.64","5.96","5.25"
"Bloom","MA-200988-1A","Eisenberg","28.5","19.0","0.15","0.64","8.6","24.3","1.44","350.5","3.15","4.37","9.1","0.26","49.5","29.6","6.7","49.77","1.4","0.2","2.7","0.3","123.4","63.2","113.0","9.2","1.5","1.2","5113.0","29.3","54.8","7.2","33.4","8.6","2.3","12.9","2.1","12.4","2.5","6.3","0.8","4.8","0.6","3.0","0.7","1.0","8.5","14.4"
"Bloom","MA-200988-1A","Eisenberg","18.0","6.4","0.06","1.82","4.6","27.3","0.91","470.3","1.37","2.44","13.0","0.14","52.4","50.9","11.3","49.77","2.3","0.2","1.3","0.3","52.1","41.4","51.8","3.7","2.0","0.5","1793.0","10.5","22.0","2.9","13.0","3.5","0.9","5.9","1.0","6.9","1.5","4.6","0.7","4.7","0.8","1.6","0.3","0.5","3.4","6.6"
"Bloom","MA-200988-1A","Eisenberg","31.6","24.2","0.19","0.22","11.4","20.0","1.45","452.9","3.46","5.43","7.2","0.28","32.7","13.4","3.9","52.82","0.6","0.2","3.6","0.2","146.9","82.6","142.7","11.5","1.3","1.5","6654.7","40.2","72.8","9.8","46.0","12.4","3.3","18.2","2.8","16.9","3.3","8.3","1.0","5.9","0.8","4.2","0.9","1.3","12.1","18.0"
"Bloom","MA-200988-1A","Eisenberg","20.9","8.3","0.09","1.19","5.1","25.2","0.78","568.1","1.52","3.15","11.5","0.19","48.0","30.7","9.6","52.82","1.3","0.2","1.7","0.3","65.4","43.3","56.7","4.0","1.8","0.6","2629.9","14.3","25.3","3.4","15.8","4.4","1.2","6.9","1.1","7.7","1.7","4.9","0.8","4.7","0.8","1.7","0.3","0.5","4.3","6.3"
"Bloom","MA-200988-1A","Eisenberg","16.1","3.0","0.02","2.11","6.2","24.3","0.53","575.2","0.51","1.82","12.2","0.18","74.2","53.5","11.3","52.82","2.0","0.01","0.8","0.2","21.8","26.0","29.8","1.8","1.9","0.2","822.4","5.4","9.9","1.3","6.4","1.9","0.5","3.0","0.5","4.1","1.0","3.2","0.5","3.9","0.6","1.0","0.2","0.2","1.7","2.7"
"Bloom","MA-200988-1A","Eisenberg","20.9","10.4","0.09","1.13","5.9","26.5","0.95","492.8","2.1","3.3","11.7","0.22","44.1","18.6","8.8","50.62","0.8","0.1","1.9","0.01","84.8","57.8","79.4","5.5","1.8","0.8","2831.2","19.0","36.0","5.0","21.3","5.5","1.5","9.3","1.6","10.3","2.1","6.0","0.8","5.5","0.9","2.3","0.5","0.7","5.8","9.3"
"Bloom","MA-200988-1A","Eisenberg","16.9","7.3","0.06","0.84","6.0","19.5","0.76","404.0","1.41","2.59","8.0","0.17","38.2","21.7","6.8","61.54","1.1","0.1","1.3","0.1","63.6","38.1","54.4","4.2","1.2","0.6","2505.9","14.6","28.5","3.6","16.2","4.4","1.2","6.7","1.1","7.0","1.5","4.1","0.6","4.0","0.6","1.8","0.4","0.6","4.4","7.4"
"Bloom","MA-200988-1A","Eisenberg","16.4","7.6","0.08","0.95","4.7","20.5","0.69","405.3","1.39","2.55","8.6","0.16","36.9","20.3","7.1","61.54","1.1","0.2","1.2","0.2","63.5","38.4","53.5","4.2","1.4","0.7","2575.3","14.1","28.5","3.6","15.8","4.6","1.2","6.7","1.1","6.9","1.5","4.2","0.6","4.0","0.6","1.6","0.4","0.5","4.3","8.0"
"Bloom","MA-200988-1A","Eisenberg","20.6","13.4","0.12","1.02","6.5","23.1","1.11","475.2","2.31","3.49","9.5","0.17","32.8","24.7","7.1","54.55","34.9","9.3","4.0","0.2","104.4","57.2","86.0","6.9","1.6","1.1","4105.2","25.3","48.0","6.1","28.4","7.9","2.0","11.1","1.8","10.9","2.3","6.2","0.8","5.5","0.8","2.6","0.6","1.0","7.7","12.4"
"Bloom","MA-200988-1A","Eisenberg","30.8","15.4","0.18","0.47","8.5","21.2","1.14","368.4","3.33","4.33","7.6","0.25","56.9","43.7","5.4","54.55","5.5","1.2","2.9","0.01","158.0","58.3","97.9","8.2","1.5","1.3","5550.3","30.1","59.1","7.3","31.8","8.6","2.4","12.8","1.9","11.3","2.2","5.9","0.8","4.7","0.6","3.0","0.7","1.1","9.0","15.7"
"Bloom","MA-200988-1A","Eisenberg","20.0","9.6","0.09","1.33","4.9","24.3","0.85","385.5","1.78","3.0","10.1","0.18","47.2","31.6","8.6","54.55","1.9","0.3","1.8","0.3","78.3","43.0","65.2","5.3","1.6","0.8","3160.9","17.8","37.9","4.6","19.4","5.5","1.5","8.2","1.3","8.1","1.6","4.8","0.7","4.6","0.7","2.1","0.4","0.7","5.3","10.7"
"Bloom","MA-200988-1B","Eisenberg","30.3","12.4","0.14","1.0","6.8","26.1","1.02","170.9","2.89","3.61","8.5","0.18","31.4","13.1","7.0","50.68","0.6","0.2","3.0","0.01","115.2","43.3","68.5","6.9","1.2","0.9","4009.2","19.9","45.9","5.2","21.9","5.9","1.7","8.0","1.3","7.3","1.5","4.0","0.5","3.4","0.5","1.7","0.4","1.0","4.8","11.2"
"Bloom","MA-200988-1B","Eisenberg","25.3","13.1","0.17","0.5","7.4","26.0","0.97","207.2","3.21","3.9","7.6","0.18","14.5","1.8","6.4","50.68","0.8","0.3","3.1","0.3","115.3","45.6","63.3","6.8","1.2","1.2","4242.6","20.4","47.6","5.3","22.1","5.9","1.7","8.5","1.3","8.0","1.6","4.5","0.6","3.8","0.5","1.6","0.4","1.1","5.0","12.3"
"Bloom","MA-200988-1B","Eisenberg","24.7","13.8","0.14","0.74","6.2","26.6","1.07","226.2","2.78","3.75","8.5","0.19","19.1","3.7","7.3","50.68","2.7","0.2","3.4","0.3","95.6","48.5","76.1","7.6","1.5","1.3","4209.7","22.6","53.3","5.9","25.4","6.7","1.9","9.8","1.5","8.8","1.8","4.7","0.6","4.1","0.5","1.9","0.5","1.2","5.7","13.8"
"Bloom","MA-200988-1B","Eisenberg","23.0","9.8","0.12","0.9","6.2","25.0","0.85","212.4","2.11","3.19","8.8","0.2","29.4","8.8","7.9","53.19","0.7","0.2","1.2","0.3","81.4","42.6","61.5","5.5","1.3","0.7","3177.4","17.3","37.8","4.3","18.7","5.2","1.5","7.8","1.2","7.6","1.5","4.5","0.6","4.0","0.6","1.6","0.4","0.8","4.6","9.5"
"Bloom","MA-200988-1B","Eisenberg","27.2","13.3","0.17","0.59","7.2","24.0","0.99","242.8","2.91","3.85","7.6","0.19","19.2","4.8","6.3","53.19","1.2","0.2","1.4","0.3","111.1","44.4","69.6","7.1","1.0","1.0","4623.0","22.5","51.6","5.8","24.2","6.6","2.1","9.2","1.4","8.6","1.7","4.5","0.6","3.8","0.5","1.9","0.5","1.1","5.7","13.3"
"Bloom","MA-200988-1B","Eisenberg","19.6","10.5","0.04","0.91","6.1","26.1","0.99","291.1","1.92","2.59","8.8","0.2","33.6","10.3","7.5","53.19","7.0","0.5","6.5","0.5","77.6","42.2","64.7","5.7","1.3","0.9","3253.4","18.0","41.9","4.8","20.2","5.5","1.7","8.0","1.3","7.9","1.5","4.5","0.6","3.9","0.6","1.8","0.4","0.9","5.0","11.0"
"Bloom","MA-200988-1B","Eisenberg","29.8","10.7","0.11","0.74","8.1","23.4","0.83","223.4","2.21","3.44","7.9","0.26","39.1","11.0","7.5","52.93","0.5","0.01","2.1","0.4","88.0","40.2","64.4","5.9","1.2","0.8","3439.8","17.8","37.8","4.4","19.3","5.4","1.4","7.6","1.2","7.3","1.5","4.2","0.6","3.7","0.5","1.7","0.4","0.8","4.6","9.1"
"Bloom","MA-200988-1B","Eisenberg","26.5","11.5","0.12","0.85","7.4","23.5","0.85","236.0","2.29","3.44","8.4","0.24","39.2","12.7","7.9","52.93","0.6","0.1","2.5","0.3","92.1","41.4","65.4","6.0","1.3","0.8","3570.7","18.0","39.1","4.5","19.2","5.3","1.5","7.8","1.2","7.4","1.5","4.1","0.6","3.7","0.5","1.6","0.4","0.8","4.6","9.0"
"Bloom","MA-200988-1B","Eisenberg","29.3","12.6","0.19","0.91","6.3","24.5","0.89","232.3","2.18","3.62","8.9","0.22","35.0","12.0","7.7","52.93","0.6","0.2","2.1","0.4","90.1","44.0","71.2","6.3","1.2","1.0","3857.6","18.5","41.1","4.8","20.6","5.7","1.6","8.0","1.3","7.5","1.6","4.4","0.6","4.0","0.6","1.9","0.4","0.9","4.5","9.8"
"Bloom","MA-200988-1B","Eisenberg","32.8","19.0","0.23","0.34","8.9","23.6","1.31","174.2","0.01","4.61","6.4","0.22","20.8","5.3","4.4","51.29","0.3","0.2","5.2","0.3","172.6","54.8","95.4","10.2","1.0","1.6","5880.5","31.3","74.3","8.2","33.4","9.4","2.7","12.5","1.9","11.1","2.1","5.5","0.7","4.0","0.5","2.4","0.7","1.5","8.0","18.5"
"Bloom","MA-200988-1B","Eisenberg","27.5","9.7","0.1","1.01","6.1","26.2","0.87","219.8","1.75","2.98","8.9","0.22","44.8","14.8","9.1","51.29","0.7","0.01","2.4","0.3","75.5","34.1","55.3","5.3","1.5","0.9","3031.2","14.4","35.8","4.0","16.1","4.4","1.2","6.3","1.1","6.2","1.3","3.7","0.5","3.3","0.5","1.5","0.4","0.8","3.9","10.1"
"Bloom","MA-200988-1B","Eisenberg","32.5","16.3","0.17","0.82","6.6","25.6","1.09","202.8","2.76","3.94","8.0","0.22","35.2","12.1","6.9","51.29","0.6","0.2","3.2","0.3","113.3","44.4","84.9","8.3","1.4","1.5","5245.0","22.6","52.1","5.9","25.1","6.6","1.9","9.6","1.5","8.6","1.7","4.6","0.6","3.6","0.5","2.1","0.6","1.3","5.9","13.9"
