;"Sample";"Material";"Spectrum";"Technique";"Na2O";"MgO";"Al2O3";"SiO2";"P2O5";"K2O";"CaO";"MnO";"FeO";"TiO2";"BaO";"Fe203"
60;"MA-201425";"Iron-SI-P";"MA-201424_ 16";"SEM";"0.2";"1.02";"10.74";"27.44";"1.49";"3.45";"4.65";"2.22";"47.96";"0.44";"0.01";
61;"MA-201425";"Iron-SI-P";"MA-201424_ 17";"SEM";"0.15";"1.1";"10.6";"29.43";"4.03";"2.83";"3.51";"2.16";"44.66";"0.52";"0.22";
62;"MA-201425";"Iron-SI-P";"MA-201424_ 18";"SEM";"0.03";"0.45";"5.82";"17.05";"2.33";"1.59";"1.98";"1.26";"68.74";"0.06";"0.26";
63;"MA-201425";"Iron-SI-P";"MA-201424_ 20";"SEM";"0.08";"0.46";"3.45";"18.98";"3.12";"2.22";"2.68";"1.62";"66.27";"0.59";"0.01";
64;"MA-201425";"Iron-SI-P";"MA-201424_ 22";"SEM";"0.12";"0.5";"5.42";"20.43";"4.3";"2.58";"4.33";"1.37";"60.36";"0.13";"0.02";
65;"MA-201425";"Iron-SI-P";"MA-201424_ 23";"SEM";"0.11";"0.46";"7.05";"17.11";"4.91";"2.6";"3.69";"1.27";"62.65";"0.13";"0.02";
66;"MA-201425";"Iron-SI-P";"MA-201424_ 24";"SEM";"0.8";"1.45";"9.84";"23.69";"4.7";"1.61";"2.13";"1.05";"54.51";"0.2";"0.01";
67;"MA-201425";"Iron-SI-P";"MA-201424_ 25";"SEM";"0.51";"1.67";"13.09";"32.92";"5.59";"2.76";"4.15";"2.09";"35.56";"0.5";"0.01";
68;"MA-201425";"Iron-SI-P";"MA-201424_ 26";"SEM";"0.64";"1.24";"11.48";"23.09";"2.98";"2.64";"2.86";"1.38";"53.17";"0.46";"0.01";
69;"MA-201425";"Iron-SI-P";"MA-201424_ 34";"SEM";"0.65";"0.9";"2.79";"18.3";"4.64";"0.91";"6.44";"0.01";"65.13";"0.12";"0.12";
70;"MA-201425";"Iron-SI-P";"MA-201424_ 37";"SEM";"0.03";"0.11";"3.2";"12.62";"5.46";"1.58";"2.84";"0.63";"72.76";"0.19";"0.01";
71;"MA-201425";"Iron-SI-P";"MA-201424_ 39";"SEM";"0.1";"0.38";"5.67";"18.26";"8.14";"2.71";"2.77";"1.4";"58.84";"0.39";"0.11";
72;"MA-201425";"Iron-SI-P";"MA-201424_ 40";"SEM";"0.11";"0.4";"3.45";"12.45";"5.0";"0.99";"1.37";"0.92";"74.82";"0.03";"0.17";
73;"MA-201425";"Iron-SI-P";"MA-201424_ 41";"SEM";"0.11";"0.34";"3.97";"11.63";"7.67";"1.71";"2.75";"0.72";"69.54";"0.19";"0.01";
74;"MA-201426";"Iron-SI-P";"MA-201426_ 1";"SEM";"0.06";"0.1";"2.92";"20.98";"4.08";"1.44";"5.35";"1.12";"63.61";"0.31";"0.03";
75;"MA-201426";"Iron-SI-P";"MA-201426_ 3";"SEM";"0.16";"0.12";"3.49";"20.98";"2.29";"1.74";"6.17";"0.87";"63.09";"0.19";"0.01";
76;"MA-201426";"Iron-SI-P";"MA-201426_ 4";"SEM";"0.05";"0.35";"2.18";"20.43";"6.14";"0.91";"4.42";"0.93";"64.19";"0.11";"0.01";
77;"MA-201426";"Iron-SI-P";"MA-201426_ 7";"SEM";"0.1";"0.1";"2.11";"18.77";"1.56";"0.86";"3.0";"0.72";"72.51";"0.01";"0.23";
78;"MA-201426";"Iron-SI-P";"MA-201426_ 8";"SEM";"0.54";"0.56";"2.47";"21.71";"2.33";"1.21";"5.82";"0.82";"64.39";"0.14";"0.01";
79;"MA-201426";"Iron-SI-P";"MA-201426_ 10";"SEM";"0.05";"0.5";"3.03";"20.83";"6.6";"1.46";"5.08";"0.93";"61.21";"0.13";"0.01";
80;"MA-201426";"Iron-SI-P";"MA-201426_ 11";"SEM";"0.05";"0.31";"2.85";"19.75";"1.52";"1.0";"4.45";"0.75";"69.16";"0.14";"0.01";
81;"MA-201426";"Iron-SI-P";"MA-201426_ 12";"SEM";"0.04";"0.22";"2.14";"17.74";"2.17";"0.63";"2.87";"0.79";"73.23";"0.16";"0.03";
82;"MA-201426";"Iron-SI-P";"MA-201426_ 14";"SEM";"0.07";"0.18";"1.71";"20.87";"3.75";"1.03";"3.78";"1.13";"67.32";"0.06";"0.1";
83;"MA-201426";"Iron-SI-P";"MA-201426_ 15";"SEM";"0.07";"0.02";"2.25";"20.43";"5.02";"1.31";"5.13";"0.91";"64.6";"0.2";"0.05";
84;"MA-201426";"Iron-SI-P";"MA-201426_ 16";"SEM";"0.04";"0.28";"3.26";"24.22";"2.27";"1.24";"5.03";"0.78";"62.72";"0.15";"0.01";
85;"MA-201427";"Iron-SI-P";"MA-201427_ 3";"SEM";"0.27";"0.43";"4.36";"29.57";"2.19";"1.56";"1.68";"0.06";"59.4";"0.42";"0.05";
86;"MA-201427";"Iron-SI-P";"MA-201427_ 5";"SEM";"0.43";"0.32";"3.13";"22.28";"2.42";"1.09";"1.62";"0.22";"68.21";"0.22";"0.06";
87;"MA-201427";"Iron-SI-P";"MA-201427_ 6";"SEM";"0.15";"0.3";"4.21";"15.56";"2.44";"0.68";"1.4";"0.4";"74.7";"0.16";"0.01";
88;"MA-201427";"Iron-SI-P";"MA-201427_ 8";"SEM";"0.86";"1.16";"4.41";"21.53";"2.73";"0.8";"5.52";"0.11";"62.33";"0.14";"0.01";
89;"MA-201427";"Iron-SI-P";"MA-201427_ 9";"SEM";"0.26";"0.38";"4.08";"18.85";"3.73";"1.46";"2.72";"0.19";"68.14";"0.19";"0.01";
90;"MA-201427";"Iron-SI-P";"MA-201427_ 10";"SEM";"0.05";"0.17";"3.05";"17.29";"2.42";"0.96";"1.94";"0.11";"73.8";"0.22";"0.01";
91;"MA-201427";"Iron-SI-P";"MA-201427_ 11";"SEM";"0.12";"0.16";"3.28";"16.1";"2.31";"0.65";"1.88";"0.34";"74.96";"0.21";"0.01";
92;"MA-201427";"Iron-SI-P";"MA-201427_ 12";"SEM";"0.08";"0.27";"3.48";"21.12";"2.86";"0.45";"0.77";"0.24";"70.54";"0.19";"0.01";
93;"MA-201427";"Iron-SI-P";"MA-201427_ 15";"SEM";"0.09";"0.36";"1.21";"19.31";"1.43";"0.38";"1.07";"0.2";"75.9";"0.05";"0.01";
94;"MA-201427";"Iron-SI-P";"MA-201427_ 16";"SEM";"0.33";"0.43";"4.55";"24.28";"2.14";"0.98";"1.59";"0.8";"64.7";"0.19";"0.01";
95;"MA-201427";"Iron-SI-P";"MA-201427_ 17";"SEM";"0.53";"0.59";"6.01";"29.4";"1.63";"1.36";"1.6";"0.16";"58.16";"0.4";"0.17";
96;"MA-201427";"Iron-SI-P";"MA-201427_ 18";"SEM";"0.2";"0.22";"3.41";"16.82";"2.14";"1.01";"2.14";"0.57";"73.36";"0.12";"0.01";
97;"MA-200988-1A";"Bloom";"1A_1_ 1";"SEM";"0.35";"1.08";"9.52";"25.96";"1.0";"3.08";"4.75";"7.88";"45.09";"0.31";"0.63";
98;"MA-200988-1A";"Bloom";"1A_1_ 2";"SEM";"0.36";"1.16";"9.53";"26.49";"1.03";"2.93";"4.52";"8.76";"44.48";"0.3";"0.27";
99;"MA-200988-1A";"Bloom";"1A_2_ 1";"SEM";"0.33";"1.05";"9.18";"25.55";"0.9";"2.67";"4.34";"7.91";"47.3";"0.29";"0.23";
100;"MA-200988-1A";"Bloom";"1A_2_ 2";"SEM";"0.42";"1.09";"9.2";"25.06";"0.96";"2.53";"4.17";"8.03";"47.76";"0.29";"0.26";
101;"MA-200988-1A";"Bloom";"1A_3_ 1";"SEM";"0.38";"0.97";"9.68";"26.14";"0.99";"2.95";"4.82";"8.18";"45.14";"0.3";"0.35";
102;"MA-200988-1A";"Bloom";"1A_3_ 2";"SEM";"0.33";"1.03";"9.51";"25.78";"0.99";"2.92";"4.7";"7.78";"45.97";"0.35";"0.31";
103;"MA-200988-1A";"Bloom";"1A_4_ 1";"SEM";"0.44";"1.11";"8.7";"23.39";"0.96";"2.11";"4.3";"7.2";"51.37";"0.21";"0.2";
104;"MA-200988-1A";"Bloom";"1A_5_ 1";"SEM";"0.34";"1.06";"8.67";"25.41";"0.9";"2.84";"4.4";"8.47";"47.1";"0.28";"0.27";
105;"MA-200988-1A";"Bloom";"1A_5_ 2";"SEM";"0.28";"0.89";"8.28";"23.46";"0.63";"2.41";"3.9";"8.51";"51.07";"0.16";"0.16";
106;"MA-200988-1B";"Bloom";"1B_1_ 1";"SEM";"0.39";"1.03";"9.46";"26.23";"1.4";"2.67";"4.55";"7.95";"45.54";"0.23";"0.35";
107;"MA-200988-1B";"Bloom";"1B_1_ 2";"SEM";"0.4";"1.07";"9.42";"25.83";"1.63";"2.76";"4.5";"7.74";"45.81";"0.28";"0.26";
108;"MA-200988-1B";"Bloom";"1B_1_ 3";"SEM";"0.5";"1.09";"9.71";"26.06";"1.33";"2.85";"4.56";"7.86";"45.46";"0.27";"0.19";
109;"MA-200988-1B";"Bloom";"1B_2_ 1";"SEM";"0.41";"1.0";"9.14";"25.58";"1.26";"2.57";"4.21";"7.25";"47.62";"0.21";"0.23";
110;"MA-200988-1B";"Bloom";"1B_2_ 2";"SEM";"0.37";"0.88";"9.12";"24.1";"1.28";"2.85";"4.74";"7.58";"48.11";"0.28";"0.49";
111;"MA-200988-1B";"Bloom";"1B_3_ 1";"SEM";"0.45";"1.03";"9.54";"27.06";"1.47";"2.86";"4.76";"7.79";"44.19";"0.28";"0.45";
112;"MA-200988-1B";"Bloom";"1B_3_ 2";"SEM";"0.41";"0.99";"9.51";"25.89";"1.37";"2.91";"4.81";"7.58";"45.72";"0.27";"0.44";
113;"MA-200988-1B";"Bloom";"1B_3_ 3";"SEM";"0.37";"0.85";"8.24";"22.64";"1.23";"2.41";"4.15";"7.13";"51.89";"0.21";"0.23";
114;"MA-200988-1B";"Bloom";"1B_3_ 4";"SEM";"0.4";"0.94";"10.26";"25.65";"1.34";"2.83";"4.81";"7.68";"45.28";"0.27";"0.36";
115;"MA-200988-1B";"Bloom";"1B_4_ 1";"SEM";"0.47";"1.05";"9.9";"26.93";"1.44";"2.88";"4.58";"7.87";"44.2";"0.28";"0.28";
116;"MA-200988-1B";"Bloom";"1B_4_ 2";"SEM";"0.41";"1.01";"8.92";"24.66";"1.29";"2.71";"4.3";"7.57";"48.41";"0.26";"0.16";
117;"MA-200988-1B";"Bloom";"1B_4_ 3";"SEM";"0.43";"1.08";"9.34";"25.89";"1.3";"2.85";"4.54";"7.78";"46.16";"0.3";"0.21";
118;"MA-200988-1B";"Bloom";"1B_4_ 4";"SEM";"0.46";"1.08";"9.37";"26.26";"1.45";"2.79";"4.39";"7.69";"45.82";"0.24";"0.32";
119;"MA-200988-1B";"Bloom";"1B_5_ 1";"SEM";"0.33";"1.17";"8.7";"25.45";"1.42";"2.54";"4.31";"8.66";"46.56";"0.25";"0.73";
120;"MA-200988-1B";"Bloom";"1B_5_ 2";"SEM";"0.38";"1.05";"8.72";"23.68";"1.64";"2.59";"4.17";"7.75";"49.11";"0.28";"0.37";
121;"MA-200988-2B";"Bloom";"2B_1_ 1";"SEM";"0.34";"1.14";"8.59";"25.07";"0.85";"2.4";"3.93";"8.15";"48.79";"0.25";"0.23";
122;"MA-200988-2B";"Bloom";"2B_2_ 1";"SEM";"0.37";"0.99";"9.39";"26.38";"1.04";"3.02";"4.55";"7.84";"45.85";"0.3";"0.26";
123;"MA-200988-2B";"Bloom";"2B_3_ 1";"SEM";"0.4";"1.03";"9.79";"27.19";"1.12";"3.01";"4.68";"7.71";"44.3";"0.35";"0.26";
124;"MA-200988-2B";"Bloom";"2B_3_ 2";"SEM";"0.26";"0.93";"8.93";"25.42";"0.86";"2.86";"4.6";"8.2";"47.19";"0.29";"0.47";
125;"MA-200988-2B";"Bloom";"2B_3_ 3";"SEM";"0.32";"1.01";"8.46";"25.03";"1.0";"2.56";"4.06";"7.36";"49.34";"0.28";"0.31";
126;"MA-200988-2B";"Bloom";"2B_4_ 1";"SEM";"0.23";"0.85";"8.63";"23.64";"0.73";"2.52";"4.07";"7.89";"50.82";"0.22";"0.23";
127;"MA-200988-2B";"Bloom";"2B_4_ 2";"SEM";"0.27";"0.91";"7.66";"22.16";"0.68";"2.1";"3.49";"7.74";"54.04";"0.16";"0.27";
128;"MA-200988-2B";"Bloom";"2B_4_ 3";"SEM";"0.35";"0.98";"8.77";"25.35";"0.75";"2.53";"4.45";"8.39";"47.9";"0.29";"0.16";
129;"MA-200988-2B";"Bloom";"2B_4_ 4";"SEM";"0.33";"0.77";"9.22";"24.73";"0.78";"2.68";"4.73";"8.07";"48.07";"0.3";"0.19";
130;"MA-200988-2B";"Bloom";"2B_5_ 1";"SEM";"0.25";"0.98";"8.38";"23.86";"0.64";"2.17";"3.77";"8.74";"50.56";"0.29";"0.23";
131;"MA-200974";"Sandstone";;"WDXRF";"3.53";"2.27";"13.89";"55.51";"0.23";"4.36";"6.25";"0.34";"9.915796";"1.04";;"11.02"
132;"MA-200975";"Ore";;"WDXRF";"0.1";"0.58";"4.01";"10.13";"0.24";"1.47";"0.89";"2.07";"63.687844000000005";"0.19";;"70.78"
133;"MA-200976";"Sandstone";;"WDXRF";"0.57";"0.33";"0.14";"0.13";"28.18";"0.02";"56.34";"0.2";"0.41390800000000005";"0.01";;"0.46"
134;"MA-200977";"Ore";;"WDXRF";"0.06";"0.45";"2.79";"8.44";"0.67";"0.99";"1.29";"5.74";"64.7856";"0.14";;"72.0"
135;"MA-200978";"Oven Slag";;"WDXRF";"0.45";"0.8";"4.49";"21.5";"0.61";"1.52";"2.46";"2.47";"56.93034600000001";"0.23";;"63.27"
136;"MA-200979";"Oven Slag";;"WDXRF";"0.11";"1.17";"6.0";"22.16";"0.24";"2.72";"3.08";"4.94";"57.27227";"0.36";;"63.65"
137;"MA-200980";"Oven Slag";;"WDXRF";"0.11";"1.28";"6.42";"23.41";"0.25";"2.72";"3.21";"4.62";"49.003108000000005";"0.36";;"54.46"
138;"MA-200981";"Oven Slag";;"WDXRF";"0.11";"0.49";"2.74";"20.46";"0.23";"0.49";"1.33";"1.14";"69.005662";"0.17";;"76.69"
139;"MA-200982";"Oven Slag";;"WDXRF";"0.64";"1.14";"6.21";"31.26";"0.36";"1.38";"2.18";"3.41";"46.60964";"0.34";;"51.8"
140;"MA-200983";"Oven Slag";;"WDXRF";"0.17";"0.85";"5.43";"26.49";"0.39";"2.78";"2.74";"7.0";"43.316372";"0.37";;"48.14"
141;"MA-200984";"Smithing Slag";;"WDXRF";"0.73";"1.06";"5.5";"22.33";"0.21";"1.94";"2.42";"2.58";"58.57698";"0.26";;"65.1"
142;"MA-200985";"Smithing Slag";;"WDXRF";"0.25";"0.61";"1.46";"16.2";"0.21";"0.56";"2.79";"0.26";"69.2846";"0.11";;"77.0"
143;"MA-200986";"Smithing Slag";;"WDXRF";"0.19";"0.68";"3.92";"19.16";"0.28";"1.73";"1.35";"2.55";"62.185178";"0.22";;"69.11"
144;"MA-200987";"Smithing Slag";;"WDXRF";"0.18";"0.2";"0.78";"6.94";"0.26";"0.22";"1.13";"0.1";"71.327146";"0.04";;"79.27"
145;"MA-200989";"Plate Slag";;"WDXRF";"0.14";"1.01";"5.88";"22.6";"0.2";"2.63";"2.21";"4.37";"57.86613800000001";"0.35";;"64.31"
146;"MA-200990";"Plate Slag";;"WDXRF";"0.22";"0.4";"2.97";"18.35";"0.14";"1.2";"1.54";"1.45";"69.99544200000001";"0.16";;"77.79"
147;"MA-200991";"Plate Slag";;"WDXRF";"0.17";"0.27";"1.74";"15.83";"0.18";"0.28";"0.84";"0.45";"77.8327";"0.1";;"86.5"
148;"MA-200992";"Plate Slag";;"WDXRF";"0.47";"1.56";"7.96";"33.47";"0.38";"3.05";"3.41";"6.53";"42.524548";"0.4";;"47.26"
149;"MA-200994";"Plate Slag";;"WDXRF";"0.27";"2.26";"6.59";"23.68";"0.19";"2.93";"2.47";"3.16";"47.410462";"0.32";;"52.69"
150;"MA-200995";"Plate Slag";;"WDXRF";"0.41";"1.43";"8.85";"30.65";"0.61";"2.96";"2.39";"7.61";"42.794488";"0.38";;"47.56"
151;"MA-200996";"Plate Slag";;"WDXRF";"0.28";"1.4";"8.27";"28.13";"0.24";"2.71";"2.11";"3.44";"52.00844";"0.34";;"57.8"
152;"MA-200998";"Plate Slag";;"WDXRF";"0.22";"1.31";"7.98";"27.16";"0.28";"2.49";"2.91";"5.54";"50.901686000000005";"0.32";;"56.57"
153;"MA-200999";"Plate Slag";;"WDXRF";"0.36";"1.18";"5.47";"30.13";"0.28";"1.46";"1.57";"3.52";"53.367138000000004";"0.28";;"59.31"
