;"Sample";"Material";"Spectrum";"Technique";"Na2O";"MgO";"Al2O3";"SiO2";"P2O5";"K2O";"CaO";"MnO";"FeO";"TiO2";"BaO";"Fe203"
46;"MA-201423";"Iron-SI";"MA-201423_ 13";"SEM";"0.09";"0.06";"3.34";"21.67";"1.01";"0.87";"3.09";"0.09";"69.63";"0.09";"0.06";
47;"MA-201423";"Iron-SI";"MA-201423_ 14";"SEM";"0.07";"0.29";"4.18";"25.09";"0.75";"0.76";"2.49";"0.16";"65.97";"0.21";"0.04";
48;"MA-201423";"Iron-SI";"MA-201423_ 17";"SEM";"0.08";"0.22";"3.23";"21.88";"2.27";"0.7";"2.49";"0.56";"68.39";"0.17";"0.02";
49;"MA-201423";"Iron-SI";"MA-201423_ 18";"SEM";"0.06";"0.12";"3.58";"23.3";"2.2";"0.82";"2.69";"0.18";"66.89";"0.16";"0.01";
50;"MA-201423";"Iron-SI";"MA-201423_ 19";"SEM";"0.05";"0.12";"3.0";"18.63";"1.4";"0.75";"2.64";"0.19";"73.06";"0.16";"0.01";
51;"MA-201425";"Iron-SI-P";"MA-201424_ 1";"SEM";"0.75";"2.32";"15.67";"48.47";"0.31";"3.86";"4.94";"0.52";"22.24";"0.78";"0.15";
52;"MA-201425";"Iron-SI-P";"MA-201424_ 2";"SEM";"0.37";"1.82";"13.69";"43.92";"0.14";"3.73";"3.83";"0.24";"31.16";"0.84";"0.11";
53;"MA-201425";"Iron-SI-P";"MA-201424_ 6";"SEM";"0.33";"1.65";"11.73";"51.75";"0.08";"2.69";"3.72";"0.18";"27.56";"0.33";"0.01";
54;"MA-201425";"Iron-SI-P";"MA-201424_ 7";"SEM";"0.79";"2.34";"15.02";"44.56";"0.06";"3.02";"3.63";"0.08";"29.6";"0.78";"0.13";
55;"MA-201425";"Iron-SI-P";"MA-201424_ 8";"SEM";"0.89";"2.71";"18.19";"52.16";"0.04";"3.73";"4.98";"0.19";"16.28";"0.72";"0.1";
56;"MA-201425";"Iron-SI-P";"MA-201424_ 9";"SEM";"0.06";"0.21";"4.56";"15.49";"5.81";"1.53";"2.83";"0.75";"67.65";"0.18";"0.01";
57;"MA-201425";"Iron-SI-P";"MA-201424_ 11";"SEM";"0.07";"0.28";"3.61";"12.92";"5.36";"0.16";"1.69";"0.24";"75.44";"0.22";"0.01";
58;"MA-201425";"Iron-SI-P";"MA-201424_ 12";"SEM";"0.03";"0.58";"5.4";"19.29";"5.23";"1.4";"1.57";"1.21";"64.78";"0.16";"0.04";
59;"MA-201425";"Iron-SI-P";"MA-201424_ 13";"SEM";"0.08";"0.97";"3.28";"21.46";"3.16";"0.72";"1.29";"1.69";"66.76";"0.08";"0.04";
