"Material","Measurement","Key","Sample","SubSample","Li","Be","Na2O","MgO","Al2O3","SiO2","P2O5","S","K2O","CaO","Sc","TiO","V","Cr","MnO","Fe2O3","Co","Ni","Cu","Zn","Ga","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Cs","Ba","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm","Yb","Lu","Hf","Ta","W","Pb","Th","U","SiO2 (%)","Na2O (%)","MgO (%)","Al2O3 (%)","P2O5 (%)","MnO (%)","CaO (%)","TiO2 (%)","K2O (%)","Fe2O3 (%)"
"Bloom","Unique",25,"MA-200988-1B","1b-5",21.9,10.8,1457.8,9400.7,69018.3,242673,8370.7,190.9,24485.7,33480.3,8.2,1955.3,33.2,13.6,73173.3,531611,1.6,0,2.7,16.4,6.8,0.2,103.8,239.5,38.9,64.6,5.7,1.3,0.9,7.9,3440,18.2,39.4,4.5,18.7,5,1.4,7.2,1.1,6.7,1.4,3.8,0.5,3.3,0.5,1.7,0.4,0.8,0.4,4.3,9.3,24.3,0.15,0.94,6.9,0.84,7.3,3.35,0.2,2.45,53.16
"Bloom","Unique",26,"MA-200988-1B","1b-5",26.7,9.3,1017.5,9178.5,65337.5,241558,8881.6,196.5,25094,30302.8,8.2,2329.2,70.6,52.6,80827.7,531611,1.8,0.2,3.1,19.2,7.2,0.4,99.8,193.6,36.4,65.7,5.4,1.6,0.8,7.9,2897.3,16.3,35.2,4.1,17.3,5,1.3,6.9,1.1,6.2,1.2,3.6,0.5,2.9,0.4,1.6,0.4,0.7,0.3,4.1,8.5,24.2,0.1,0.92,6.5,0.89,8.1,3.03,0.23,2.51,53.16
"Bloom","Unique",27,"MA-200988-2B","2b-1",34.5,15.8,880.6,19615.9,88993.3,201248,11181,797.5,8294.9,15608.4,10.2,6803,197,74.9,52926.1,590351,928,328.7,117.5,149.1,11.6,50.9,61.8,48.9,48.5,133.6,9.2,7,1.3,9,596.3,30.4,65.2,8.1,34,8.5,2,12.3,2,10.4,2.2,5.3,0.7,4.2,0.5,3.9,0.7,0.9,30.1,8.1,15.5,20.1,0.09,1.96,8.9,1.12,5.3,1.56,0.68,0.83,59.04
"Bloom","Unique",28,"MA-200988-2B","2b-1",26.4,13.5,1525.4,4948.6,67001.3,201444,11055.3,211.8,27340,34444.9,7.2,2696,65.9,30.6,53569.3,590351,6,2.8,2.4,16.5,7.3,0,118,309.3,47.5,90.9,7.3,1.6,1.1,9.5,4431.9,24,50.9,6.2,26.5,6.9,1.9,10.6,1.6,9.6,1.9,4.9,0.6,4.1,0.5,2.8,0.6,1,0.6,7.3,14.4,20.1,0.15,0.49,6.7,1.11,5.4,3.44,0.27,2.73,59.04
"Bloom","Unique",29,"MA-200988-2B","2b-1",19.5,6.8,657.7,8782.1,71237.1,203722,6596.1,220.1,12308.3,24105,7.4,2088.9,56.1,30.1,77230.3,590351,2.2,0.4,1.4,20.8,9.1,0,57.3,141.5,29.9,43.4,3.7,1.6,0.5,4.8,2138.9,12.3,25.9,3.2,13.5,3.5,1,5.5,0.9,5.5,1.2,3.3,0.5,3,0.5,1.3,0.3,0.6,0.2,3.7,7.2,20.4,0.07,0.88,7.1,0.66,7.7,2.41,0.21,1.23,59.04
"Bloom","Unique",30,"MA-200988-2B","2b-2",26,10.8,1058.8,8479,72460.2,254882,9868.7,269.3,27793.5,36219.8,9,2342,38.9,12.5,72346.9,509576,0.6,0,3.2,15.1,7.5,0,119,233.7,52.6,76.5,6,1.5,0.8,8.2,3865.4,24.1,50.7,6.1,25.9,6.8,1.9,10.2,1.7,9.9,2,5.5,0.7,4.8,0.7,2.3,0.5,1,0.3,6.8,12.8,25.5,0.11,0.85,7.2,0.99,7.2,3.62,0.23,2.78,50.96
"Bloom","Unique",31,"MA-200988-2B","2b-2",26.8,9.3,1258.2,10006.4,70833,258747,8337.7,269.3,19750,35275.2,9.4,2051.7,33.6,10.4,79666.9,509576,0.8,0.1,1.8,17.2,7.7,0.3,95.2,221.4,43.8,56.4,4.6,1.5,0.8,7.2,3501.8,18.4,39.2,4.6,19.4,5.6,1.6,7.9,1.4,7.6,1.6,4.7,0.6,4.5,0.7,1.7,0.4,0.8,0.4,5.1,9.8,25.9,0.13,1,7.1,0.83,8,3.53,0.21,1.98,50.96
"Bloom","Unique",32,"MA-200988-2B","2b-2",24.4,9.8,1102.7,11268.9,73921.5,248111,8552.1,277.7,18204.7,33785.5,9.4,2207,39.3,13.8,89129.1,509576,0.8,0.2,2.1,17.3,9,0.2,79.4,190.8,43,59.2,5.1,1.7,0.8,6.9,3180,16.6,34.9,4.1,19.1,5.2,1.5,7.6,1.3,7.9,1.7,4.8,0.7,4.4,0.7,1.7,0.4,0.8,0.3,4.7,9.2,24.8,0.11,1.13,7.4,0.86,8.9,3.38,0.22,1.82,50.96
"Bloom","Unique",33,"MA-200988-2B","2b-3",26.5,13,1265.7,8852.4,71458.8,244707,9416.2,233.5,22699.7,38556,8.7,2199.2,34.5,11.4,73510.9,521699,0.8,0,2.2,15.5,7.6,0.2,101.7,280.6,48.6,75,6.7,1.6,1,8.7,4554.5,21.7,46.5,5.5,23.5,6.4,1.9,9.2,1.5,8.9,1.8,4.9,0.7,4.5,0.6,2.2,0.5,1,0.5,6,11.8,24.5,0.13,0.89,7.1,0.94,7.4,3.86,0.22,2.27,52.17
"Bloom","Unique",34,"MA-200988-2B","2b-3",21.5,8.3,751.2,11470,71992.5,245910,8074.3,242.4,17270.3,32669.1,9.5,2331.7,42.3,15.8,83939.9,521699,0.5,0.2,1.7,16.9,8,0.3,79.5,179,46.6,63.7,4.9,1.7,0.7,6.2,2972.4,17.6,37.4,4.5,18.6,5.5,1.5,8,1.3,7.9,1.7,4.8,0.7,4.5,0.6,1.8,0.4,0.8,0.3,4.8,9,24.6,0.08,1.15,7.2,0.81,8.4,3.27,0.23,1.73,52.17
