Sample;Material;Spectrum;Na2O;MgO;Al2O3;SiO2;P2O5;K2O;CaO;MnO;FeO;TiO2;BaO
MA-201423;Iron-SI;MA-201423_ 12;0.07;0.08;3.29;17.97;2.31;0.79;2.55;0.23;72.47;0.2;0.01
MA-201423;Iron-SI;MA-201423_ 13;0.09;0.06;3.34;21.67;1.01;0.87;3.09;0.09;69.63;0.09;0.06
MA-201423;Iron-SI;MA-201423_ 14;0.07;0.29;4.18;25.09;0.75;0.76;2.49;0.16;65.97;0.21;0.04
MA-201423;Iron-SI;MA-201423_ 17;0.08;0.22;3.23;21.88;2.27;0.7;2.49;0.56;68.39;0.17;0.02
MA-201423;Iron-SI;MA-201423_ 18;0.06;0.12;3.58;23.3;2.2;0.82;2.69;0.18;66.89;0.16;0.01
MA-201423;Iron-SI;MA-201423_ 19;0.05;0.12;3.0;18.63;1.4;0.75;2.64;0.19;73.06;0.16;0.01
MA-201425;Iron-SI-P;MA-201424_ 1;0.75;2.32;15.67;48.47;0.31;3.86;4.94;0.52;22.24;0.78;0.15
MA-201425;Iron-SI-P;MA-201424_ 2;0.37;1.82;13.69;43.92;0.14;3.73;3.83;0.24;31.16;0.84;0.11
MA-201425;Iron-SI-P;MA-201424_ 6;0.33;1.65;11.73;51.75;0.08;2.69;3.72;0.18;27.56;0.33;0.01
MA-201425;Iron-SI-P;MA-201424_ 7;0.79;2.34;15.02;44.56;0.06;3.02;3.63;0.08;29.6;0.78;0.13
MA-201425;Iron-SI-P;MA-201424_ 8;0.89;2.71;18.19;52.16;0.04;3.73;4.98;0.19;16.28;0.72;0.1
MA-201425;Iron-SI-P;MA-201424_ 9;0.06;0.21;4.56;15.49;5.81;1.53;2.83;0.75;67.65;0.18;0.01
MA-201425;Iron-SI-P;MA-201424_ 11;0.07;0.28;3.61;12.92;5.36;0.16;1.69;0.24;75.44;0.22;0.01
MA-201425;Iron-SI-P;MA-201424_ 12;0.03;0.58;5.4;19.29;5.23;1.4;1.57;1.21;64.78;0.16;0.04
MA-201425;Iron-SI-P;MA-201424_ 13;0.08;0.97;3.28;21.46;3.16;0.72;1.29;1.69;66.76;0.08;0.04
MA-201425;Iron-SI-P;MA-201424_ 16;0.2;1.02;10.74;27.44;1.49;3.45;4.65;2.22;47.96;0.44;0.01
MA-201425;Iron-SI-P;MA-201424_ 17;0.15;1.1;10.6;29.43;4.03;2.83;3.51;2.16;44.66;0.52;0.22
MA-201425;Iron-SI-P;MA-201424_ 18;0.03;0.45;5.82;17.05;2.33;1.59;1.98;1.26;68.74;0.06;0.26
MA-201425;Iron-SI-P;MA-201424_ 20;0.08;0.46;3.45;18.98;3.12;2.22;2.68;1.62;66.27;0.59;0.01
MA-201425;Iron-SI-P;MA-201424_ 22;0.12;0.5;5.42;20.43;4.3;2.58;4.33;1.37;60.36;0.13;0.02
MA-201425;Iron-SI-P;MA-201424_ 23;0.11;0.46;7.05;17.11;4.91;2.6;3.69;1.27;62.65;0.13;0.02
MA-201425;Iron-SI-P;MA-201424_ 24;0.8;1.45;9.84;23.69;4.7;1.61;2.13;1.05;54.51;0.2;0.01
MA-201425;Iron-SI-P;MA-201424_ 25;0.51;1.67;13.09;32.92;5.59;2.76;4.15;2.09;35.56;0.5;0.01
MA-201425;Iron-SI-P;MA-201424_ 26;0.64;1.24;11.48;23.09;2.98;2.64;2.86;1.38;53.17;0.46;0.01
MA-201425;Iron-SI-P;MA-201424_ 34;0.65;0.9;2.79;18.3;4.64;0.91;6.44;0.01;65.13;0.12;0.12
MA-201425;Iron-SI-P;MA-201424_ 37;0.03;0.11;3.2;12.62;5.46;1.58;2.84;0.63;72.76;0.19;0.01
MA-201425;Iron-SI-P;MA-201424_ 39;0.1;0.38;5.67;18.26;8.14;2.71;2.77;1.4;58.84;0.39;0.11
MA-201425;Iron-SI-P;MA-201424_ 40;0.11;0.4;3.45;12.45;5.0;0.99;1.37;0.92;74.82;0.03;0.17
