Material,x,y,slope,intercept,R2
Plate Slag,CaO,P2O5,0.07510552271251057,0.11760690446732205,0.16735591139153833
Smithing Slag,CaO,P2O5,-0.059254125347021624,0.39292772682806676,0.8842077330457945
Bloom,CaO,P2O5,0.3848004725723514,-0.5884488545801418,0.18874165393432923
Iron-SI,CaO,P2O5,-0.23878354530513807,2.290156608621909,0.3966814128403013
Iron-SI-P,CaO,P2O5,-0.17847128330603934,3.230531913728462,0.015138898210451059
Oven Slag,FeO,P2O5,-0.00236078887372244,0.5096082036247412,0.015868340277054443
Flow Slag,FeO,P2O5,0.0020530709298114147,0.21973675593491787,0.028909970222392157
Plate Slag,FeO,P2O5,-0.008255752797219015,0.7523137804851765,0.5014995317799111
Smithing Slag,FeO,P2O5,0.0026414649962683417,0.07521605965364514,0.35200270707966963
Bloom,FeO,P2O5,-0.05825221288899454,3.8893746569249137,0.2519050157875647
Iron-SI,FeO,P2O5,0.028484805728625363,-0.2162918306860746,0.4556933492081509
Iron-SI-P,FeO,P2O5,0.06344893026255126,-0.967948076457871,0.2598531263985529
