;MgO;Al2O3;SiO2;K2O;CaO;FeO;P2O5
MgO;1.0;0.7720639555846645;0.6531015519115201;0.7241026419927173;0.5169209034660464;-0.7656098208634093;0.008845976548445931
Al2O3;0.7720639555846645;1.0;0.7704957411084209;0.8849323257197388;0.37210030824879625;-0.9238865962472977;0.2091894974705137
SiO2;0.6531015519115201;0.7704957411084209;1.0;0.55045544442814;0.4906900524032197;-0.9365938683530193;0.24379617914958496
K2O;0.7241026419927173;0.8849323257197388;0.55045544442814;1.0;0.4125219087622352;-0.7838995589750329;0.09080862233766268
CaO;0.5169209034660464;0.37210030824879625;0.4906900524032197;0.4125219087622352;1.0;-0.5276788092589658;0.07684827959556109
FeO;-0.7656098208634093;-0.9238865962472977;-0.9365938683530193;-0.7838995589750329;-0.5276788092589658;1.0;-0.2826465055625997
P2O5;0.008845976548445931;0.2091894974705137;0.24379617914958496;0.09080862233766268;0.07684827959556109;-0.2826465055625997;1.0
