;MgO;Al2O3;SiO2;K2O;CaO;FeO;P2O5
MgO;1.0;0.7778349293799907;0.8473497829358766;0.6914694176601882;0.36159122082160977;-0.9039496954655837;-0.5393120422779641
Al2O3;0.7778349293799907;1.0;0.5522842958733598;0.8165484894372947;0.21445749571482722;-0.7428206051092444;-0.2465037435342412
SiO2;0.8473497829358766;0.5522842958733598;1.0;0.6644916891473812;0.44219572671604335;-0.9517779823211886;-0.675220721443497
K2O;0.6914694176601882;0.8165484894372947;0.6644916891473812;1.0;0.460626562212185;-0.8228931201579983;-0.23568168996632569
CaO;0.36159122082160977;0.21445749571482722;0.44219572671604335;0.460626562212185;1.0;-0.51982542593579;-0.12304023004875711
FeO;-0.9039496954655837;-0.7428206051092444;-0.9517779823211886;-0.8228931201579983;-0.51982542593579;1.0;0.5097579095988142
P2O5;-0.5393120422779641;-0.2465037435342412;-0.675220721443497;-0.23568168996632569;-0.12304023004875711;0.5097579095988142;1.0
