;MgO;Al2O3;SiO2;K2O;CaO;FeO;P2O5
MgO;1.0;0.2460647678579063;0.47235117955911465;0.14640069372069295;0.04940062293385407;-0.4329144921524132;0.3555769276561662
Al2O3;0.2460647678579063;1.0;0.8275845216166084;0.8001128497264861;0.8514739184380318;-0.9058961169479752;0.5057534355249108
SiO2;0.47235117955911465;0.8275845216166084;1.0;0.7938659515789018;0.7045544179309084;-0.9648496311941495;0.4141537564581622
K2O;0.14640069372069295;0.8001128497264861;0.7938659515789018;1.0;0.8439893662410237;-0.8607433475595613;0.4024294241655057
CaO;0.04940062293385407;0.8514739184380318;0.7045544179309084;0.8439893662410237;1.0;-0.8160686009387846;0.4344440745761527
FeO;-0.4329144921524132;-0.9058961169479752;-0.9648496311941495;-0.8607433475595613;-0.8160686009387846;1.0;-0.5019014004638408
P2O5;0.3555769276561662;0.5057534355249108;0.4141537564581622;0.4024294241655057;0.4344440745761527;-0.5019014004638408;1.0
