;MgO;Al2O3;SiO2;K2O;CaO;FeO;P2O5
MgO;1.0;0.8148879175241933;0.8850402673589209;0.7803085095640168;0.6713457045251763;-0.9223257611040933;-0.5085467525804201
Al2O3;0.8148879175241933;1.0;0.6822642662156985;0.8527387815536481;0.4730318812722501;-0.7931341131679058;-0.31268648787693315
SiO2;0.8850402673589209;0.6822642662156985;1.0;0.7670976152664241;0.732989845445178;-0.9735825219581585;-0.6381327808735717
K2O;0.7803085095640168;0.8527387815536481;0.7670976152664241;1.0;0.6210976948131977;-0.8592428327819328;-0.2834412004634929
CaO;0.6713457045251763;0.4730318812722501;0.732989845445178;0.6210976948131977;1.0;-0.7854931426005435;-0.31209943665518886
FeO;-0.9223257611040933;-0.7931341131679058;-0.9735825219581585;-0.8592428327819328;-0.7854931426005435;1.0;0.5076508182310336
P2O5;-0.5085467525804201;-0.31268648787693315;-0.6381327808735717;-0.2834412004634929;-0.31209943665518886;0.5076508182310336;1.0
